SCI Electric PCL | Income Statement                                25-Sep-2024 17:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,46 ,N/A ,N/A ,N/A ,52 ,13 ,11 ,2 ,14 ,73 ,71 ,63 ,14 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,4 ,7 ,10 ,31 ,44 ,61 ,66 ,52 ,55 ,38 ,29 ,24 ,19 ,17 ,35 ,51 ,13 ,19 ,4 
Period End Date,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"403,890 ","652,727 ","935,790 ","816,194 ","622,926 ","586,103 ","381,412 ","499,570 ","272,632 ","259,538 ","601,379 ","810,225 ","585,698 ","306,286 ","417,115 ","350,631 ","377,557 ","327,322 ","319,817 ","260,306 ","205,780 ","233,676 ","337,814 ","325,394 ","240,680 ","347,074 ","405,739 ","407,765 ","383,773 ","318,110 ","444,994 ","422,357 ","371,303 ","385,608 ","338,384 ","370,804 ","323,104 ","422,058 ","413,897 ","423,709 ","360,759 ","382,406 "
Net Sales,"403,890 ","652,727 ","935,790 ","816,194 ","622,926 ","586,103 ","381,412 ","499,570 ","272,632 ","259,538 ","601,379 ","810,225 ","585,698 ","306,286 ","417,115 ","350,631 ","377,557 ","327,322 ","319,817 ","260,306 ","205,780 ","233,676 ","337,814 ","325,394 ","240,680 ","347,074 ","405,739 ","407,765 ","383,773 ","318,110 ","444,994 ","422,357 ","371,303 ","385,608 ","338,384 ","370,804 ","323,104 ","422,058 ","413,897 ","423,709 ","360,759 ","382,406 "
Total Revenue,"403,890 ","652,727 ","935,790 ","816,194 ","622,926 ","586,103 ","381,412 ","499,570 ","272,632 ","259,538 ","601,379 ","810,225 ","585,698 ","306,286 ","417,115 ","350,631 ","377,557 ","327,322 ","319,817 ","260,306 ","205,780 ","233,676 ","337,814 ","325,394 ","240,680 ","347,074 ","405,739 ","407,765 ","383,773 ","318,110 ","444,994 ","422,357 ","371,303 ","385,608 ","338,384 ","370,804 ","323,104 ","422,058 ","413,897 ","423,709 ","360,759 ","382,406 "
"Cost of Revenue, Total","345,724 ","538,668 ","738,417 ","604,617 ","505,611 ","466,493 ","294,685 ","463,564 ","228,544 ","225,249 ","503,319 ","654,137 ","523,806 ","257,823 ","337,490 ","324,459 ","341,810 ","293,214 ","268,228 ","249,110 ","179,657 ","231,940 ","324,544 ","271,803 ","210,609 ","267,835 ","365,469 ","367,429 ","332,402 ","297,479 ","413,601 ","393,666 ","371,167 ","418,851 ","376,577 ","349,116 ","326,185 ","432,724 ","393,730 ","410,174 ","355,453 ","362,550 "
Cost of Revenue,"345,724 ","538,668 ","738,417 ","604,617 ","505,611 ","466,493 ","294,685 ","463,564 ","228,544 ","225,249 ","503,319 ","654,137 ","523,806 ","257,823 ","337,490 ","324,459 ","341,810 ","293,214 ","268,228 ","249,110 ","179,657 ","231,940 ","324,544 ","271,803 ","210,609 ","267,835 ","365,469 ","367,429 ","332,402 ","297,479 ","413,601 ","393,666 ","371,167 ","418,851 ","376,577 ","349,116 ","326,185 ","432,724 ","393,730 ","410,174 ","355,453 ","362,550 "
Gross Profit,"58,166 ","114,059 ","197,373 ","211,578 ","117,316 ","119,610 ","86,727 ","36,006 ","44,088 ","34,289 ","98,060 ","156,088 ","61,892 ","48,463 ","79,625 ","26,172 ","35,747 ","34,108 ","51,589 ","11,195 ","26,123 ","1,736 ","13,271 ","53,591 ","30,071 ","79,239 ","40,270 ","40,336 ","51,372 ","20,631 ","31,394 ","28,691 ",136 ,"(33,242)","(38,193)","21,688 ","(3,081)","(10,666)","20,167 ","13,535 ","5,306 ","19,856 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selling/General/Admin. Expenses, Total","35,903 ","29,461 ","30,263 ","55,217 ","31,789 ","29,367 ","22,477 ","53,279 ","43,009 ","33,085 ","30,248 ","29,293 ","52,372 ","39,350 ","42,173 ","49,726 ","60,204 ","13,208 ","63,468 ","47,105 ","42,359 ","59,086 ","42,591 ","21,839 ","44,753 ","41,493 ","42,408 ","40,974 ","44,341 ","41,905 ","37,699 ","36,570 ","39,130 ","36,707 ","36,217 ","36,101 ","35,962 ","37,182 ","36,804 ","41,516 ","33,415 ","38,258 "
Selling/General/Administrative Expense,"35,903 ","29,461 ","30,263 ","55,217 ","31,789 ","29,367 ","22,477 ","53,279 ","43,009 ","33,085 ","30,248 ","29,293 ","52,372 ","39,350 ","42,173 ","49,726 ","60,204 ","13,208 ","63,468 ","47,105 ","42,359 ","59,086 ","42,591 ","21,839 ","44,753 ","41,493 ","42,408 ","40,974 ","44,341 ","41,905 ","37,699 ","36,570 ","39,130 ","36,707 ","36,217 ","36,101 ","35,962 ","37,182 ","36,804 ","41,516 ","33,415 ","38,258 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,683)","(2,213)","(1,778)","(1,166)","(36,213)",(637),"(11,114)","20,034 ",(319),(610),(771),(509),(158),(410),(137),(216),--,--,--,(220),--,--
Interest Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(658),"(1,725)","(1,464)","(1,694)",(755),(627),(547),(287),(303),(475),(549),(429),(111),(211),(137),(216),--,--,--,--,--,--
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,024)",(488),(315),529 ,"(35,459)",(10),"(10,567)","20,322 ",(15),(135),(222),(80),(46),(199),0 ,0 ,--,--,--,(220),--,--
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,683)","(2,213)","(1,778)","(1,166)","(36,213)",(637),"(11,114)","20,034 ",(319),(610),(771),(509),(158),(410),(137),(216),--,--,--,(220),--,--
Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,181)",0 ,0 ,"432,335 ",--,--
Impairment-Assets Held for Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,181)",0 ,0 ,--,--,--
Impairment-Assets Held for Sale,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"432,335 ",--,--
"Other Operating Expenses, Total","(3,273)","(4,212)","(2,497)","(4,752)","(4,797)","(2,196)","(5,664)","(14,172)","(5,213)","(4,525)","(6,698)","(9,703)","(4,866)","(4,165)","(5,120)",--,--,--,--,--,"(2,207)","(6,595)","(3,579)","31,195 ","(1,719)","23,411 ","(1,406)",574 ,"(12,040)","(7,504)","(25,121)","(9,248)","(1,894)","(15,196)","(21,342)","21,292 ","(2,059)","(14,222)","(15,515)","7,621 ","(9,316)","(14,140)"
