SCI Electric PCL | Ratios - Key Metrics                                25-Sep-2024 17:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,32,N/A,N/A,N/A,46,N/A,N/A,N/A,52,13,11,2,14,73,71,63,14,1,1,1,2,1,2,2,4,7,10,31,44,61,66,52,55,38,29,24,19,17,35,51,13,19,4
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,11.8% ,14.4%,17.5%,21.1%,25.9%,18.8%,20.4%,22.7%,7.2%,16.2%,13.2%,16.3%,19.3%,10.6%,15.8%,19.1%,7.5%,9.5%,10.4%,16.1%,4.3%,12.7%,0.7%,3.9%,16.5%,12.5%,22.8%,9.9%,9.9%,13.4%,6.5%,7.1%,6.8%,0.0%,(8.6%),(11.3%),5.8%,(1.0%),(2.5%),4.9%,3.2%,1.5%,5.2%
EBITDA Margin,5.1% ,7.4%,14.3%,18.6%,21.5%,15.7%,16.7%,19.8%,2.7%,5.4%,5.4%,13.8%,17.9%,4.1%,7.5%,12.5%,(4.0%),(4.1%),9.3%,(0.6%),(8.8%),1.2%,(14.5%),(2.6%),4.2%,0.4%,8.2%,3.3%,2.5%,8.5%,0.0%,7.5%,3.8%,(6.4%),(10.6%),(11.4%),(5.8%),(7.4%),(4.8%),3.0%,(5.3%),(2.8%),1.2%
Operating Margin,5.1% ,6.3%,13.6%,18.1%,19.7%,14.5%,15.8%,18.3%,(0.6%),2.3%,2.2%,12.4%,16.8%,2.5%,4.3%,10.2%,(6.7%),(6.5%),6.4%,(3.7%),(13.8%),(6.0%),(20.8%),(7.1%),0.5%,9.7%,4.3%,2.6%,(5.2%),5.1%,(4.1%),4.4%,0.4%,(9.9%),(14.1%),(15.6%),(9.6%),(9.2%),(8.0%),(0.3%),(110.4%),(5.2%),(1.1%)
Pretax Margin,4.9% ,4.8%,12.7%,17.5%,18.6%,13.5%,14.7%,16.4%,(1.5%),0.8%,0.6%,11.2%,16.2%,1.8%,3.0%,9.8%,(5.9%),(6.2%),6.7%,(1.8%),(15.2%),(8.6%),(23.2%),(9.8%),(9.8%),6.4%,2.5%,1.3%,(48.8%),3.8%,(5.5%),3.0%,(0.9%),(11.0%),(15.4%),(17.3%),(11.9%),(11.5%),(11.5%),(3.3%),(114.2%),(9.0%),(5.0%)
Effective Tax Rate,17.0% ,26.4%,21.8%,22.1%,20.8%,18.6%,13.2%,25.6%,-,329.3%,343.5%,15.6%,13.3%,41.5%,68.2%,18.3%,-,-,4.7%,-,-,-,-,-,-,11.8%,73.8%,83.7%,-,44.9%,-,38.0%,-,-,-,-,-,-,-,-,-,-,-
Net Margin,3.5% ,3.5%,9.9%,13.6%,14.8%,11.0%,12.8%,12.2%,(0.5%),(1.8%),(1.4%),9.5%,14.0%,1.1%,1.0%,8.0%,(6.4%),(6.2%),6.4%,(2.4%),(14.1%),(10.4%),(21.0%),(9.8%),(10.4%),5.6%,0.6%,0.2%,(48.9%),2.1%,(4.9%),1.9%,0.2%,(10.9%),(15.3%),(17.5%),(11.6%),(11.4%),(11.4%),(3.2%),(113.1%),(9.0%),(5.0%)
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.13 ,-,-,-,-,-,0.32 ,0.21 ,0.21 ,0.10 ,0.11 ,0.25 ,0.29 ,0.19 ,0.09 ,0.13 ,0.11 ,0.11 ,0.10 ,0.09 ,0.08 ,0.06 ,0.07 ,0.11 ,0.11 ,0.08 ,0.11 ,0.13 ,0.13 ,0.13 ,0.10 ,0.14 ,0.13 ,0.12 ,0.13 ,0.11 ,0.13 ,0.11 ,0.14 ,0.14 ,0.18 ,0.21 ,0.22 
x Pretax Margin,4.9% ,4.8%,12.7%,17.5%,18.6%,13.5%,14.7%,16.4%,(1.5%),0.8%,0.6%,11.2%,16.2%,1.8%,3.0%,9.8%,(5.9%),(6.2%),6.7%,(1.8%),(15.2%),(8.6%),(23.2%),(9.8%),(9.8%),6.4%,2.5%,1.3%,(48.8%),3.8%,(5.5%),3.0%,(0.9%),(11.0%),(15.4%),(17.3%),(11.9%),(11.5%),(11.5%),(3.3%),(114.2%),(9.0%),(5.0%)
Pretax ROA,0.6% ,-,-,-,-,-,4.7%,3.5%,(0.3%),0.1%,0.1%,2.8%,4.7%,0.3%,0.3%,1.2%,(0.6%),(0.7%),0.6%,(0.2%),(1.2%),(0.5%),(1.7%),(1.1%),(1.1%),0.5%,0.3%,0.2%,(6.4%),0.5%,(0.6%),0.4%,(0.1%),(1.3%),(1.9%),(1.9%),(1.5%),(1.3%),(1.6%),(0.5%),(20.2%),(1.9%),(1.1%)
x Leverage (Assets/Equity),5.54 ,-,-,-,-,7.08 ,2.45 ,2.31 ,1.56 ,1.36 ,1.31 ,1.42 ,1.56 ,1.64 ,1.73 ,1.72 ,1.74 ,1.79 ,1.84 ,1.83 ,1.78 ,1.87 ,1.90 ,1.84 ,1.83 ,1.93 ,1.95 ,1.98 ,2.05 ,2.10 ,2.12 ,2.19 ,2.17 ,2.19 ,2.26 ,2.32 ,2.30 ,2.52 ,2.52 ,2.65 ,2.50 ,2.63 ,2.83 
Pretax ROE,3.0% ,-,-,-,-,-,17.4%,8.2%,(0.6%),0.1%,0.1%,3.8%,7.0%,0.6%,0.5%,2.1%,(1.1%),(1.2%),1.2%,(0.3%),(2.2%),(1.0%),(3.1%),(2.0%),(1.9%),0.9%,0.5%,0.3%,(13.0%),1.0%,(1.2%),0.9%,(0.3%),(2.9%),(4.3%),(4.4%),(3.4%),(3.0%),(4.1%),(1.2%),(52.2%),(4.8%),(3.0%)
x Tax Complement,0.74 ,0.74 ,0.78 ,0.78 ,0.79 ,0.81 ,0.87 ,0.74 ,-,(2.29),(2.44),0.84 ,0.87 ,0.59 ,0.33 ,0.82 ,-,-,0.96 ,-,-,-,-,-,-,0.92 ,0.34 ,0.27 ,-,0.59 ,-,0.65 ,-,-,-,-,-,-,-,-,-,-,-
ROE,2.0% ,-,-,-,-,-,15.1%,6.1%,(0.2%),(0.3%),(0.2%),3.2%,6.0%,0.3%,0.2%,1.7%,(1.2%),(1.2%),1.1%,(0.4%),(2.0%),(1.2%),(2.8%),(1.9%),(2.0%),0.9%,0.2%,0.1%,(13.0%),0.6%,(1.1%),0.6%,0.1%,(2.8%),(4.1%),(4.4%),(3.5%),(2.9%),(4.0%),(1.1%),(49.9%),(4.7%),(2.9%)
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,-,-,-,1.00 ,0.67 ,1.00 ,1.00 ,1.00 ,-,-,1.00 ,-,-,-,-,-,-,1.00 ,1.00 ,1.00 ,-,1.00 ,-,1.00 ,1.00 ,-,-,-,-,-,-,-,-,-,-
Reinvestment Rate,1.9% ,-,-,-,-,-,15.1%,6.1%,(5.8%),(0.3%),(0.2%),3.2%,4.0%,0.3%,0.2%,1.7%,(3.1%),(1.2%),1.1%,(0.4%),(4.0%),(1.2%),(2.8%),(1.9%),(2.9%),0.9%,0.2%,0.1%,(13.0%),0.6%,(1.1%),0.6%,0.1%,(2.8%),(4.1%),(4.4%),(3.5%),(2.9%),(4.0%),(1.1%),(49.9%),(4.7%),(2.9%)
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.90 ,-,-,-,-,0.67 ,0.99 ,0.93 ,2.16 ,2.85 ,3.16 ,2.36 ,2.01 ,1.88 ,1.74 ,1.70 ,1.74 ,1.71 ,1.61 ,1.68 ,1.80 ,1.50 ,1.42 ,1.58 ,1.18 ,1.08 ,1.09 ,1.10 ,1.02 ,1.02 ,0.97 ,0.96 ,0.93 ,0.89 ,0.90 ,0.88 ,0.89 ,0.82 ,0.81 ,0.79 ,0.65 ,0.60 ,0.61 
Current Ratio,1.12 ,-,-,-,-,0.87 ,1.25 ,1.27 ,2.38 ,3.27 ,3.75 ,2.83 ,2.31 ,2.16 ,2.06 ,2.02 ,2.03 ,2.01 ,1.90 ,1.97 ,2.04 ,1.84 ,1.82 ,1.91 ,1.44 ,1.37 ,1.39 ,1.38 ,1.29 ,1.29 ,1.28 ,1.25 ,1.24 ,1.22 ,1.17 ,1.10 ,1.12 ,1.09 ,1.07 ,1.05 ,1.09 ,1.04 ,1.02 
Times Interest Earned,3.2 ,4.2 ,14.3 ,27.0 ,17.7 ,13.8 ,15.0 ,9.7 ,(0.7),1.6 ,2.0 ,15.2 ,52.0 ,9.0 ,12.6 ,37.5 ,-,(67.8),27.7 ,(15.4),(6.5),(2.2),(8.2),(4.5),0.1 ,(2.3),2.5 ,(0.2),(0.3),4.2 ,(3.5),5.1 ,0.4 ,(10.1),(11.9),(8.9),(5.1),(4.6),(3.9),(0.1),(12.8),(1.5),(0.3)
Cash Cycle (Days),108.5 ,-,-,-,-,-,61.7 ,109.1 ,98.6 ,148.8 ,135.0 ,68.1 ,55.2 ,80.2 ,134.7 ,113.5 ,182.0 ,147.4 ,152.6 ,137.6 ,196.5 ,706.8 ,647.2 ,439.3 ,452.2 ,639.4 ,501.4 ,419.9 ,384.5 ,385.7 ,454.8 ,340.8 ,367.6 ,393.8 ,365.4 ,405.7 ,366.1 ,435.2 ,340.1 ,343.3 ,256.4 ,197.2 ,205.7 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
