BCPG PCL | Ratios - Key Metrics                                25-Sep-2024 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
,Industry Median,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 
Earnings Quality Score,24,N/A,N/A,N/A,90,N/A,N/A,N/A,21,25,17,13,19,18,14,43,46,39,45,43,34,29,33,30,36,45,35,23,16,41,47,60,72,32,19,15,15,13
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,79.6%,80.1%,78.7%,79.0%,76.0%,74.7%,72.5%,67.9%,72.3%,72.2%,71.3%,67.4%,70.1%,71.7%,69.3%,72.1%,74.4%,73.6%,71.4%,69.0%,65.2%,63.1%,69.8%,65.2%,62.4%,63.6%,69.7%,65.6%,63.7%,65.0%,66.2%,57.9%,50.9%,48.1%,55.0%,41.7%,42.0%
EBITDA Margin,34.8% ,94.6%,94.3%,94.5%,91.4%,80.0%,68.8%,77.6%,72.4%,78.2%,71.4%,71.3%,67.8%,73.9%,76.7%,75.4%,69.3%,75.4%,76.9%,73.9%,75.0%,75.9%,78.3%,83.5%,77.8%,78.2%,76.9%,78.3%,71.7%,76.8%,76.2%,77.6%,73.0%,72.7%,71.7%,78.9%,73.7%,74.9%
Operating Margin,33.7% ,79.0%,78.9%,78.0%,75.7%,90.5%,49.6%,57.4%,80.0%,57.7%,51.2%,50.2%,44.8%,51.9%,56.3%,53.4%,50.2%,56.5%,58.0%,52.9%,53.4%,86.4%,41.6%,65.6%,46.3%,54.5%,57.9%,70.7%,23.5%,190.5%,43.1%,64.4%,42.3%,75.2%,50.4%,53.7%,16.7%,44.5%
Pretax Margin,29.0% ,72.8%,72.8%,71.3%,68.6%,78.1%,59.3%,45.7%,41.2%,56.7%,51.8%,22.7%,86.1%,47.7%,47.8%,155.6%,32.5%,60.6%,54.4%,50.5%,45.1%,75.2%,29.3%,55.3%,27.2%,50.1%,54.1%,58.6%,16.0%,152.2%,25.9%,47.0%,27.5%,57.6%,24.9%,44.5%,(10.2%),46.7%
Effective Tax Rate,17.5% ,0.2%,0.1%,0.1%,1.9%,(0.1%),(1.1%),(0.5%),(4.8%),(0.3%),(0.4%),(0.9%),1.6%,0.1%,(0.4%),11.8%,(17.0%),(0.4%),(0.6%),(0.5%),(0.5%),14.0%,(24.7%),1.6%,(0.3%),0.3%,4.1%,10.4%,(20.6%),22.6%,11.2%,11.6%,14.8%,15.7%,25.7%,18.8%,-,21.0%
Net Margin,17.7% ,72.7%,72.7%,71.3%,67.4%,78.3%,59.9%,45.9%,43.2%,56.9%,52.0%,23.0%,84.7%,47.7%,47.9%,137.3%,38.0%,60.9%,54.7%,50.8%,45.3%,64.7%,36.6%,54.4%,27.3%,50.0%,51.9%,52.6%,19.3%,117.7%,23.0%,41.5%,23.4%,48.5%,18.5%,36.1%,(13.2%),36.9%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,-,-,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 
x Pretax Margin,29.0% ,72.8%,72.8%,71.3%,68.6%,78.1%,59.3%,45.7%,41.2%,56.7%,51.8%,22.7%,86.1%,47.7%,47.8%,155.6%,32.5%,60.6%,54.4%,50.5%,45.1%,75.2%,29.3%,55.3%,27.2%,50.1%,54.1%,58.6%,16.0%,152.2%,25.9%,47.0%,27.5%,57.6%,24.9%,44.5%,(10.2%),46.7%
