Teera-Mongkol Industry PCL | Balance Sheet                                25-Sep-2024 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,44 ,39 ,16 ,41 ,66 ,60 ,77 ,80 ,79 ,81 ,71 ,18 ,2 ,14 ,25 ,28 ,19 ,4 ,2 ,6 ,39 ,46 ,54 ,39 ,44 ,43 ,28 ,38 ,21 ,4 ,2 ,1 ,1 ,2 ,5 ,22 ,36 ,71 ,73 ,68 ,59 
Period End Date,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,23-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"9,948 ","9,417 ","5,495 ","6,249 ","1,685 ","1,799 ",963 ,"1,342 ","2,130 ","2,242 ","1,324 ","7,111 ","10,959 ","9,514 ","5,598 ","6,041 ","3,043 ","11,687 ","14,838 ","39,694 ","3,491 ","7,618 ","114,526 ","107,463 ","2,119 ","6,013 ","28,176 ","2,464 ","14,404 ","9,591 ","3,283 ","7,679 ","4,769 ","4,503 ","9,957 ","9,285 ","8,046 ","12,731 ","8,270 ","13,683 ","10,299 ","14,254 ","42,020 ","8,898 ","12,199 ","5,971 ","11,622 ","20,232 ","11,326 ","30,487 ","23,941 ","24,260 ","59,445 ","16,711 ","9,481 "
Cash & Equivalents,"9,948 ","9,417 ","5,495 ","6,249 ","1,685 ","1,799 ",963 ,"1,342 ","2,130 ","2,242 ","1,324 ","7,111 ","10,959 ","9,514 ","5,598 ","6,041 ","3,043 ","11,687 ","14,838 ","39,694 ","3,491 ","7,618 ","114,526 ","107,463 ","2,119 ","6,013 ","28,176 ","2,464 ","14,404 ","9,591 ","3,283 ","7,679 ","4,769 ","4,503 ","9,957 ","9,285 ","8,046 ","10,448 ","8,202 ","13,344 ","10,299 ","12,919 ","40,153 ","5,351 ","11,925 ","5,781 ","8,506 ","16,323 ","11,326 ","30,487 ","22,612 ","23,310 ","59,445 ","16,294 ","9,358 "
Short Term Investments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,283 ",67 ,340 ,--,"1,335 ","1,866 ","3,547 ",274 ,191 ,"3,117 ","3,909 ",0 ,--,"1,328 ",950 ,--,417 ,123 
"Accounts Receivable - Trade, Net","80,840 ","74,068 ","69,018 ","86,198 ","94,070 ","108,081 ","107,559 ","108,140 ","115,781 ","101,552 ","100,231 ","100,852 ","103,560 ","84,989 ","84,899 ","112,034 ","133,138 ","138,598 ","129,934 ","125,301 ","161,469 ","128,081 ","118,812 ","114,894 ","141,086 ","120,092 ","112,953 ","105,836 ","102,778 ","96,658 ","101,204 ","103,132 ","120,080 ","119,146 ","100,216 ","98,127 ","108,135 ","97,754 ","119,278 ","122,735 ","127,538 ","120,165 ","132,885 ","146,318 ","140,793 ","161,415 ","154,582 ","162,605 ","164,625 ","159,175 ","167,628 ","152,413 ","142,988 ","159,553 ","151,771 "
"Accounts Receivable - Trade, Gross","81,202 ","74,525 ","69,539 ","86,888 ","94,912 ","109,069 ","108,562 ","109,143 ","116,837 ","103,047 ","101,335 ","101,901 ","104,750 ","86,114 ","86,038 ","113,264 ","134,113 ","138,598 ","129,934 ","125,301 ","161,469 ","128,081 ","118,812 ","114,894 ","141,086 ","120,092 ","112,953 ","105,836 ","102,778 ","96,658 ","101,204 ","103,132 ","120,080 ","119,146 ","100,216 ","98,127 ","108,135 ","97,754 ","119,278 ","122,735 ","127,538 ","120,165 ","132,885 ","146,318 ","140,793 ","161,415 ","154,582 ","162,605 ","164,625 ","159,175 ","167,628 ","152,413 ","142,988 ","159,553 ","151,771 "
Provision for Doubtful Accounts,(362),(457),(521),(690),(842),(987),"(1,003)","(1,003)","(1,056)","(1,495)","(1,103)","(1,048)","(1,191)","(1,126)","(1,138)","(1,231)",(975),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
