Absolute Clean Energy PCL | Income Statement                                25-Sep-2024 16:37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,73 ,69 ,51 ,51 ,50 ,55 ,49 ,32 ,18 ,14 ,19 ,24 ,32 ,39 ,22 ,22 ,17 ,16 ,23 ,25 ,11 
Period End Date,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"1,150,246 ","1,185,087 ","1,236,266 ","1,261,610 ","1,212,784 ","1,317,525 ","1,266,867 ","1,258,097 ","1,347,851 ","1,640,417 ","1,500,977 ","1,368,899 ","1,314,094 ","1,386,044 ","1,467,727 ","1,559,056 ","1,621,023 ","1,637,732 ","1,814,696 ","1,843,562 ","1,740,571 ","1,613,320 ","1,627,415 ","1,601,401 ","1,471,376 ","1,566,711 "
Net Sales,"1,150,246 ","1,185,087 ","1,236,266 ","1,261,610 ","1,212,784 ","1,317,525 ","1,266,867 ","1,258,097 ","1,347,851 ","1,640,417 ","1,500,977 ","1,368,899 ","1,314,094 ","1,386,044 ","1,467,727 ","1,559,056 ","1,621,023 ","1,637,732 ","1,814,696 ","1,843,562 ","1,740,571 ","1,613,320 ","1,627,415 ","1,601,401 ","1,471,376 ","1,566,711 "
Total Revenue,"1,150,246 ","1,185,087 ","1,236,266 ","1,261,610 ","1,212,784 ","1,317,525 ","1,266,867 ","1,258,097 ","1,347,851 ","1,640,417 ","1,500,977 ","1,368,899 ","1,314,094 ","1,386,044 ","1,467,727 ","1,559,056 ","1,621,023 ","1,637,732 ","1,814,696 ","1,843,562 ","1,740,571 ","1,613,320 ","1,627,415 ","1,601,401 ","1,471,376 ","1,566,711 "
"Cost of Revenue, Total","801,844 ","834,481 ","892,415 ","887,008 ","858,337 ","897,384 ","840,507 ","833,108 ","919,987 ","1,194,364 ","1,037,896 ","914,566 ","874,683 ","920,377 ","971,282 ","1,041,626 ","1,149,445 ","1,174,054 ","1,350,577 ","1,370,254 ","1,274,394 ","1,191,764 ","1,168,690 ","1,165,563 ","1,121,406 ","1,168,475 "
Cost of Revenue,"801,844 ","834,481 ","892,415 ","887,008 ","858,337 ","897,384 ","840,507 ","833,108 ","919,987 ","1,194,364 ","1,037,896 ","914,566 ","874,683 ","920,377 ","971,282 ","1,041,626 ","1,149,445 ","1,174,054 ","1,350,577 ","1,370,254 ","1,274,394 ","1,191,764 ","1,168,690 ","1,165,563 ","1,121,406 ","1,168,475 "
Gross Profit,"348,402 ","350,606 ","343,851 ","374,602 ","354,446 ","420,141 ","426,360 ","424,989 ","427,864 ","446,053 ","463,081 ","454,333 ","439,411 ","465,666 ","496,445 ","517,430 ","471,578 ","463,679 ","464,119 ","473,308 ","466,177 ","421,557 ","458,724 ","435,837 ","349,969 ","398,235 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
