Absolute Clean Energy PCL | Ratios - Key Metrics                                25-Sep-2024 16:39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
,Industry Median,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 
Earnings Quality Score,24,N/A,N/A,N/A,N/A,N/A,73,69,51,51,50,55,49,32,18,14,19,24,32,39,22,22,17,16,23,25
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,30.3%,29.6%,27.8%,29.7%,29.2%,31.9%,33.7%,33.8%,31.7%,27.2%,30.9%,33.2%,33.4%,33.6%,33.8%,33.2%,29.1%,28.3%,25.6%,25.7%,26.8%,26.1%,28.2%,27.2%,23.8%
EBITDA Margin,34.8% ,35.6%,34.5%,31.5%,29.3%,32.6%,36.2%,37.4%,39.3%,35.7%,30.9%,35.9%,36.6%,39.8%,40.0%,38.4%,38.9%,34.9%,34.1%,29.3%,29.7%,31.4%,32.3%,33.8%,32.4%,31.3%
Operating Margin,33.7% ,18.4%,30.8%,18.4%,19.0%,19.6%,23.7%,26.6%,27.0%,50.0%,15.9%,29.8%,20.1%,32.2%,30.6%,32.8%,26.9%,23.4%,28.3%,24.8%,11.6%,19.0%,24.3%,24.3%,13.1%,25.0%
Pretax Margin,29.0% ,7.7%,20.5%,8.7%,9.8%,10.5%,15.4%,18.1%,20.1%,48.1%,14.3%,27.9%,18.1%,29.6%,28.0%,30.4%,24.7%,21.3%,26.5%,23.0%,9.7%,16.5%,21.2%,21.2%,9.9%,20.6%
Effective Tax Rate,17.5% ,(15.5%),11.6%,(4.0%),4.5%,(3.8%),(3.1%),0.5%,2.9%,8.5%,(6.2%),2.1%,(2.7%),7.4%,5.6%,7.8%,4.5%,6.5%,11.6%,8.6%,(8.9%),4.2%,7.8%,8.4%,(4.4%),15.7%
Net Margin,17.7% ,9.0%,18.1%,9.0%,9.3%,10.9%,15.9%,18.0%,19.5%,44.0%,15.2%,27.3%,18.6%,27.4%,26.4%,28.0%,23.6%,19.9%,23.4%,21.0%,10.5%,15.8%,19.6%,19.5%,10.3%,17.3%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.11 ,0.10 ,0.08 ,0.08 ,0.08 ,0.08 ,0.08 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.07 
x Pretax Margin,29.0% ,7.7%,20.5%,8.7%,9.8%,10.5%,15.4%,18.1%,20.1%,48.1%,14.3%,27.9%,18.1%,29.6%,28.0%,30.4%,24.7%,21.3%,26.5%,23.0%,9.7%,16.5%,21.2%,21.2%,9.9%,20.6%
Pretax ROA,1.5% ,-,-,-,0.9%,0.9%,1.5%,1.7%,1.8%,4.5%,1.6%,2.7%,1.5%,2.3%,2.2%,2.5%,2.1%,1.8%,2.3%,2.1%,0.9%,1.4%,1.7%,1.7%,0.7%,1.4%
x Leverage (Assets/Equity),3.47 ,-,-,2.55 ,2.49 ,2.43 ,2.35 ,2.26 ,1.31 ,1.27 ,1.31 ,1.39 ,1.37 ,1.41 ,1.43 ,1.40 ,1.41 ,1.38 ,1.42 ,1.39 ,1.42 ,1.41 ,1.40 ,1.38 ,1.43 ,1.43 
Pretax ROE,4.6% ,-,-,-,2.2%,2.3%,3.5%,3.8%,3.0%,5.8%,2.1%,3.6%,2.1%,3.2%,3.1%,3.5%,2.9%,2.6%,3.2%,3.0%,1.3%,2.0%,2.4%,2.3%,1.0%,2.0%
x Tax Complement,0.73 ,1.16 ,0.88 ,1.04 ,0.96 ,1.04 ,1.03 ,1.00 ,0.97 ,0.92 ,1.06 ,0.98 ,1.03 ,0.93 ,0.94 ,0.92 ,0.96 ,0.94 ,0.88 ,0.91 ,1.09 ,0.96 ,0.92 ,0.92 ,1.04 ,0.84 
ROE,3.0% ,-,-,-,2.1%,2.4%,3.6%,3.8%,2.9%,5.4%,2.2%,3.6%,2.1%,3.0%,2.9%,3.2%,2.8%,2.4%,2.8%,2.7%,1.4%,1.9%,2.2%,2.1%,1.1%,1.7%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.49 ,1.00 ,1.00 ,0.28 ,1.00 ,0.50 ,1.00 ,0.94 ,1.00 ,1.00 ,1.00 ,0.12 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Reinvestment Rate,2.0% ,-,-,-,2.1%,2.4%,3.6%,3.8%,2.9%,2.6%,2.2%,3.6%,0.6%,3.0%,1.5%,3.2%,2.6%,2.4%,2.8%,2.7%,0.2%,1.9%,2.2%,2.1%,1.1%,1.7%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,0.30 ,0.64 ,0.58 ,0.32 ,0.32 ,0.91 ,1.06 ,1.13 ,1.29 ,1.19 ,1.44 ,1.39 ,1.33 ,1.61 ,1.52 ,1.66 ,1.82 ,1.17 ,0.94 ,1.08 ,0.99 ,1.55 ,1.21 
Current Ratio,0.81 ,-,-,0.35 ,0.70 ,0.66 ,0.39 ,0.39 ,1.04 ,1.31 ,1.42 ,1.61 ,1.52 ,1.92 ,1.80 ,1.76 ,2.01 ,2.01 ,2.23 ,2.42 ,1.71 ,1.52 ,1.71 ,1.60 ,2.18 ,1.77 
Times Interest Earned,3.6 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
