Super Energy Corporation PCL | Balance Sheet                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Other Current Assets, Total","14,428 ","14,385 ","12,799 ","8,853 ","29,239 ","18,296 ","18,551 ","17,529 ","14,363 ","15,799 ","6,425 ","8,573 ","7,059 ","8,200 ","7,429 ","6,855 ","3,115 ","5,018 ","4,928 ","4,589 ","5,331 ","4,940 ","3,919 ","3,439 ","2,168 ","6,072 ","3,236 ","4,395 ","1,681 ","2,849 ","1,546 ","1,076 ","1,248 ","52,938 ","51,704 ","51,323 ","54,919 ","49,089 ","79,285 ","78,547 ","43,353 ","62,371 ","58,493 ","62,819 ","5,459 ","9,726 ","12,082 ","22,894 ","20,815 ","20,971 ","5,198 ","5,327 ",40 ,46 ,171 ,58 ,74 ,57 ,"5,838,798 ","16,621 ","9,456 ","8,797 ","8,305 ","38,280 ","37,944 ","34,791 ","35,672 ","38,657 ","37,857 ","37,848 ","501,155 ","40,712 ","4,141 ","2,588 ","1,228 ","1,441 ",497 ,"6,159,288 ","6,366,978 "
Discontinued Operations - Current Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"51,860 ","50,489 ","49,103 ","47,717 ","46,361 ","44,990 ","43,603 ","42,217 ","40,861 ","39,490 ","38,104 ","5,000 ","5,000 ","5,000 ","5,000 ","18,652 ","18,652 ","5,000 ","5,000 ",0 ,--,--,--,--,--,"5,838,625 ",--,--,--,--,--,--,--,--,--,--,--,"461,830 ",--,--,--,--,--,--,"6,156,448 ","6,366,615 "
Other Current Assets,"14,428 ","14,385 ","12,799 ","8,853 ","29,239 ","18,296 ","18,551 ","17,529 ","14,363 ","15,799 ","6,425 ","8,573 ","7,059 ","8,200 ","7,429 ","6,855 ","3,115 ","5,018 ","4,928 ","4,589 ","5,331 ","4,940 ","3,919 ","3,439 ","2,168 ","6,072 ","3,236 ","4,395 ","1,681 ","2,849 ","1,546 ","1,076 ","1,248 ","1,078 ","1,215 ","2,220 ","7,202 ","2,728 ","34,295 ","34,944 ","1,136 ","21,510 ","19,003 ","24,715 ",459 ,"4,726 ","7,082 ","17,894 ","2,163 ","2,319 ",198 ,327 ,40 ,46 ,171 ,58 ,74 ,57 ,173 ,"16,621 ","9,456 ","8,797 ","8,305 ","38,280 ","37,944 ","34,791 ","35,672 ","38,657 ","37,857 ","37,848 ","39,325 ","40,712 ","4,141 ","2,588 ","1,228 ","1,441 ",497 ,"2,840 ",363 
Total Current Assets,"111,452 ","212,293 ","377,971 ","372,922 ","304,549 ","311,404 ","285,002 ","409,738 ","395,430 ","398,609 ","474,958 ","477,499 ","170,177 ","178,329 ","155,044 ","137,259 ","43,488 ","44,930 ","44,427 ","46,510 ","44,938 ","76,501 ","63,653 ","64,764 ","58,122 ","67,290 ","69,262 ","62,905 ","84,504 ","134,855 ","100,321 ","127,990 ","98,010 ","275,417 ","260,683 ","375,108 ","673,714 ","596,688 ","1,176,536 ","3,677,430 ","2,658,548 ","2,923,390 ","2,814,763 ","4,195,348 ","3,326,471 ","1,833,553 ","3,224,452 ","2,820,421 ","1,488,302 ","2,003,836 ","1,849,890 ","2,975,702 ","1,401,858 ","1,886,534 ","1,885,292 ","2,247,018 ","3,253,926 ","4,337,892 ","9,584,131 ","5,818,608 ","4,972,686 ","5,277,089 ","6,949,888 ","4,346,404 ","3,634,333 ","4,294,831 ","5,618,239 ","4,865,258 ","5,038,043 ","4,493,913 ","6,130,754 ","4,845,844 ","5,622,494 ","5,295,261 ","6,170,347 ","5,699,793 ","5,179,723 ","11,976,338 ","12,088,315 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross","9,165 ","8,330 ","7,750 ","7,127 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","567,903 ","683,960 ","684,097 ","684,242 ","684,507 ","684,910 ","1,127,669 ","1,128,241 ","1,129,197 ","1,129,999 ","1,130,382 ","1,130,724 ","1,131,854 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ",0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Buildings - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"173,040 ","173,040 ","173,040 ","173,040 ","173,040 ","173,119 ","173,119 ","173,333 ","173,333 ","173,387 ","173,387 ","173,742 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Land/Improvements - Gross,"9,165 ","8,330 ","7,750 ","7,127 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","52,352 ","7,055 ","7,055 ","7,055 ","7,055 ","7,055 ",0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Machinery/Equipment - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"587,031 ","458,568 ","458,705 ","458,850 ","459,115 ","459,518 ","902,198 ","902,554 ","903,512 ","904,315 ","904,643 ","904,883 ","905,385 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Construction in Progress - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,0 ,--,216 ,0 ,0 ,--,102 ,375 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(26,183)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","669,389 ","703,403 ","746,199 ","760,324 ","753,896 ","891,385 ","742,341 ","728,816 ","715,326 ","702,618 ","302,875 ","287,931 ","269,232 ","274,269 ","257,969 ","746,020 ","247,500 ","241,540 ","235,609 ","229,799 ","212,476 ","508,685 ","500,216 ","491,216 ","482,034 ","486,662 ","477,259 ","462,825 ","451,856 ","481,969 ","471,908 ","460,720 ","448,997 ","54,078 ","53,116 ","54,283 ","53,795 ","463,098 ","914,489 ","1,036,008 ","1,901,581 ","4,574,978 ","7,327,052 ","10,254,226 ","29,127,349 ","34,282,991 ","36,511,749 ","37,006,447 ","39,774,162 ","39,240,954 ","38,880,058 ","39,169,161 ","39,165,465 ","38,837,410 ","38,487,868 ","38,894,688 ","39,091,079 ","39,107,692 ","39,013,162 ","38,704,144 ","39,016,340 ","40,884,169 ","40,400,935 ","43,910,257 ","54,836,107 ","55,734,453 ","56,177,510 ","58,089,777 ","59,969,471 ","59,826,815 ","61,381,506 ","63,881,223 ","61,741,606 ","61,572,361 ","62,399,201 ","62,250,738 ","60,053,494 ","54,754,605 ","54,822,228 "
"Accumulated Depreciation, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(66,724)","(436,460)","(442,557)","(448,633)","(454,708)","(472,434)","(618,984)","(628,025)","(637,981)","(647,965)","(643,720)","(653,465)","(669,029)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Goodwill, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,116 ,--,--,--,116 ,--,--,--,"1,343 ","1,343 ","1,343 ","6,416 ","5,629 ","5,629 ","5,629 ","5,629 ","5,629 ","5,629 ","203,892 ","203,742 ","203,742 ","395,868 ","317,444 ","321,954 ","312,257 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 ","185,071 "
