Super Energy Corporation PCL | Income Statement                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2004, Jun-2004, Sep-2004, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,1 ,1 ,12 ,7 ,1 ,6 ,1 ,1 ,2 ,4 ,6 ,22 ,28 ,26 ,29 ,32 ,46 ,30 ,23 ,64 ,57 ,67 ,29 ,5 ,6 ,19 ,68 ,11 ,14 ,7 ,4 ,23 ,16 ,11 ,18 ,29 ,30 ,52 ,69 ,74 
Period End Date,31-Mar-2004 ,30-Jun-2004 ,30-Sep-2004 ,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"94,449 ","101,672 ","89,337 ","75,150 ","97,262 ","89,731 ","107,650 ","72,024 ","66,836 ","58,082 ","48,222 ","40,408 ","40,669 ","39,763 ","57,098 ","55,805 ","56,468 ","49,466 ","54,661 ","46,231 ","39,828 ","31,871 ","41,069 ","48,700 ","56,041 ","51,795 ","61,154 ","50,040 ","99,808 ","67,194 ","67,448 ","95,749 ","62,889 ","(1,654)","16,791 ",0 ,"22,480 ","22,196 ","22,078 ","24,289 ","36,678 ","43,207 ","52,822 ","72,345 ","81,156 ","89,776 ","89,236 ","137,989 ","312,622 ","813,691 ","1,215,507 ","1,269,784 ","1,477,353 ","1,430,419 ","1,355,444 ","1,246,967 ","1,479,027 ","1,439,720 ","1,325,363 ","1,485,292 ","1,617,330 ","1,580,661 ","1,491,766 ","1,555,818 ","1,683,734 ","1,592,726 ","1,651,197 ","1,586,950 ","2,230,637 ","2,190,368 ","2,035,862 ","2,073,196 ","2,456,546 ","2,313,448 ","2,191,465 ","2,399,655 ","2,669,746 ","2,413,297 ","2,311,531 ","2,420,132 ","2,712,795 ","2,465,652 "
Net Sales,"94,449 ","101,672 ","89,337 ","75,150 ","97,262 ","89,731 ","107,650 ","72,024 ","66,836 ","58,082 ","48,222 ","40,408 ","40,669 ","39,763 ","57,098 ","55,805 ","56,468 ","49,466 ","54,661 ","46,231 ","39,828 ","31,871 ","41,069 ","48,700 ","56,041 ","51,795 ","61,154 ","50,040 ","99,808 ","67,194 ","67,448 ","95,749 ","62,889 ","(1,654)","16,791 ",0 ,"22,480 ","22,196 ","22,078 ","24,289 ","36,678 ","43,207 ","52,822 ","72,345 ","81,156 ","89,776 ","89,236 ","137,989 ","312,622 ","813,691 ","1,215,507 ","1,269,784 ","1,477,353 ","1,430,419 ","1,355,444 ","1,246,967 ","1,479,027 ","1,439,720 ","1,325,363 ","1,485,292 ","1,617,330 ","1,580,661 ","1,491,766 ","1,555,818 ","1,683,734 ","1,592,726 ","1,651,197 ","1,586,950 ","2,230,637 ","2,190,368 ","2,035,862 ","2,073,196 ","2,456,546 ","2,313,448 ","2,191,465 ","2,399,655 ","2,669,746 ","2,413,297 ","2,311,531 ","2,420,132 ","2,712,795 ","2,465,652 "
Total Revenue,"94,449 ","101,672 ","89,337 ","75,150 ","97,262 ","89,731 ","107,650 ","72,024 ","66,836 ","58,082 ","48,222 ","40,408 ","40,669 ","39,763 ","57,098 ","55,805 ","56,468 ","49,466 ","54,661 ","46,231 ","39,828 ","31,871 ","41,069 ","48,700 ","56,041 ","51,795 ","61,154 ","50,040 ","99,808 ","67,194 ","67,448 ","95,749 ","62,889 ","(1,654)","16,791 ",0 ,"22,480 ","22,196 ","22,078 ","24,289 ","36,678 ","43,207 ","52,822 ","72,345 ","81,156 ","89,776 ","89,236 ","137,989 ","312,622 ","813,691 ","1,215,507 ","1,269,784 ","1,477,353 ","1,430,419 ","1,355,444 ","1,246,967 ","1,479,027 ","1,439,720 ","1,325,363 ","1,485,292 ","1,617,330 ","1,580,661 ","1,491,766 ","1,555,818 ","1,683,734 ","1,592,726 ","1,651,197 ","1,586,950 ","2,230,637 ","2,190,368 ","2,035,862 ","2,073,196 ","2,456,546 ","2,313,448 ","2,191,465 ","2,399,655 ","2,669,746 ","2,413,297 ","2,311,531 ","2,420,132 ","2,712,795 ","2,465,652 "
"Cost of Revenue, Total","47,443 ","45,775 ","42,083 ","44,833 ","40,166 ","44,231 ","80,231 ","69,623 ","62,083 ","52,755 ","45,176 ","37,578 ","37,129 ","38,588 ","50,558 ","47,306 ","49,460 ","43,137 ","44,105 ","39,810 ","31,158 ","56,385 ","28,533 ","58,549 ","46,757 ","45,760 ","53,087 ","52,768 ","57,423 ","59,326 ","62,565 ","63,736 ","32,839 ","(1,654)",--,0 ,"15,473 ","14,069 ","16,123 ","15,991 ","22,089 ","27,073 ","32,856 ","46,413 ","48,201 ","59,011 ","54,073 ","61,968 ","147,949 ","375,793 ","487,618 ","544,953 ","585,282 ","594,752 ","598,813 ","606,060 ","589,443 ","635,682 ","689,294 ","713,235 ","693,554 ","715,776 ","788,536 ","749,087 ","754,304 ","765,572 ","849,075 ","835,098 ","1,070,910 ","1,071,422 ","1,061,858 ","1,142,499 ","1,128,371 ","1,146,850 ","1,237,069 ","1,173,668 ","1,204,519 ","1,223,237 ","1,254,949 ","1,268,705 ","1,250,099 ","1,254,810 "
Cost of Revenue,"47,443 ","45,775 ","42,083 ","44,833 ","40,166 ","44,231 ","80,231 ","69,623 ","62,083 ","52,755 ","45,176 ","37,578 ","37,129 ","38,588 ","50,558 ","47,306 ","49,460 ","43,137 ","44,105 ","39,810 ","31,158 ","56,385 ","28,533 ","58,549 ","46,757 ","45,760 ","53,087 ","52,768 ","57,423 ","59,326 ","62,565 ","63,736 ","32,839 ","(1,654)",--,0 ,"15,473 ","14,069 ","16,123 ","15,991 ","22,089 ","27,073 ","32,856 ","46,413 ","48,201 ","59,011 ","54,073 ","61,968 ","147,949 ","375,793 ","487,618 ","544,953 ","585,282 ","594,752 ","598,813 ","606,060 ","589,443 ","635,682 ","689,294 ","713,235 ","693,554 ","715,776 ","788,536 ","749,087 ","754,304 ","765,572 ","849,075 ","835,098 ","1,070,910 ","1,071,422 ","1,061,858 ","1,142,499 ","1,128,371 ","1,146,850 ","1,237,069 ","1,173,668 ","1,204,519 ","1,223,237 ","1,254,949 ","1,268,705 ","1,250,099 ","1,254,810 "
Gross Profit,"47,006 ","55,897 ","47,254 ","30,317 ","57,096 ","45,500 ","27,419 ","2,401 ","4,753 ","5,327 ","3,046 ","2,830 ","3,540 ","1,175 ","6,540 ","8,499 ","7,008 ","6,329 ","10,556 ","6,421 ","8,670 ","(24,514)","12,536 ","(9,848)","9,284 ","6,035 ","8,067 ","(2,729)","42,385 ","7,868 ","4,883 ","32,013 ","30,050 ",0 ,--,0 ,"7,007 ","8,127 ","5,955 ","8,298 ","14,589 ","16,134 ","19,966 ","25,932 ","32,955 ","30,765 ","35,163 ","76,021 ","164,673 ","437,898 ","727,889 ","724,831 ","892,071 ","835,667 ","756,631 ","640,907 ","889,584 ","804,038 ","636,069 ","772,057 ","923,776 ","864,885 ","703,230 ","806,731 ","929,430 ","827,154 ","802,122 ","751,852 ","1,159,727 ","1,118,946 ","974,004 ","930,697 ","1,328,175 ","1,166,598 ","954,396 ","1,225,987 ","1,465,227 ","1,190,060 ","1,056,582 ","1,151,427 ","1,462,696 ","1,210,842 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
