CK Power PCL | Income Statement                                12-Sep-2024 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,48 ,56 ,63 ,61 ,52 ,49 ,41 ,43 ,47 ,63 ,37 ,34 ,38 ,23 ,35 ,33 ,26 ,34 ,41 ,48 ,59 ,42 ,30 ,27 ,14 ,20 ,19 ,18 ,22 ,26 ,32 ,37 ,34 ,36 ,31 ,25 ,32 ,25 ,35 ,44 ,41 
Period End Date,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,0 ,"483,721 ","997,071 ","1,031,671 ","1,003,591 ","1,017,675 ","1,980,912 ","1,566,095 ","1,743,212 ","1,525,337 ","1,709,405 ","1,964,188 ","1,637,102 ","1,645,665 ","1,483,775 ","1,929,964 ","1,533,392 ","1,527,200 ","1,792,449 ","1,403,015 ","1,334,372 ","1,330,472 ","2,250,978 ","1,857,889 ","1,791,475 ","1,934,096 ","2,943,024 ","2,281,329 ","2,362,445 ","2,140,037 ","1,802,096 ","1,918,411 ","1,595,253 ","1,670,424 ","1,972,588 ","1,288,717 ","1,914,341 ","2,105,616 ","2,322,080 ","2,163,127 ","2,339,371 ","2,453,462 ","3,286,469 ","2,515,603 ","2,459,954 ","2,270,261 ","2,383,126 ","2,793,759 ","2,251,123 ","2,376,355 "
Electric Operations,0 ,"483,721 ","997,071 ","1,031,671 ","1,003,591 ","1,017,675 ","1,980,912 ","1,566,095 ","1,743,212 ","1,525,337 ","1,709,405 ","1,964,188 ","1,637,102 ","1,645,665 ","1,483,775 ","1,929,964 ","1,533,392 ","1,527,200 ","1,792,449 ","1,403,015 ","1,334,372 ","1,330,472 ","2,250,978 ","1,857,889 ","1,791,475 ","1,934,096 ","2,943,024 ","2,281,329 ","2,362,445 ","2,140,037 ","1,802,096 ","1,918,411 ","1,595,253 ","1,670,424 ","1,972,588 ","1,288,717 ","1,914,341 ","2,105,616 ","2,322,080 ","2,163,127 ","2,339,371 ","2,453,462 ","3,286,469 ","2,515,603 ","2,459,954 ","2,270,261 ","2,383,126 ","2,793,759 ","2,251,123 ","2,376,355 "
"Other Revenue, Total",--,"7,402 ","11,183 ","11,252 ","11,010 ","10,985 ","10,925 ","11,128 ","13,454 ","14,769 ","14,385 ","14,248 ","15,241 ","15,078 ","15,219 ","15,053 ","15,927 ","15,650 ","15,674 ","15,435 ","20,141 ","28,313 ","28,282 ","28,276 ","29,983 ","29,845 ","30,092 ","29,953 ","36,890 ","36,862 ","41,125 ","39,020 ","41,528 ","40,516 ","40,515 ","45,514 ","71,155 ","73,954 ","73,366 ","74,104 ","76,755 ","77,224 ","77,567 ","77,944 ","94,680 ","94,282 ","94,757 ","94,925 ","96,509 ","96,070 "
Other Non-Utility Revenue,--,"7,402 ","11,183 ","11,252 ","11,010 ","10,985 ","10,925 ","11,128 ","13,454 ","14,769 ","14,385 ","14,248 ","15,241 ","15,078 ","15,219 ","15,053 ","15,927 ","15,650 ","15,674 ","15,435 ","20,141 ","28,313 ","28,282 ","28,276 ","29,983 ","29,845 ","30,092 ","29,953 ","36,890 ","36,862 ","41,125 ","39,020 ","41,528 ","40,516 ","40,515 ","45,514 ","71,155 ","73,954 ","73,366 ","74,104 ","76,755 ","77,224 ","77,567 ","77,944 ","94,680 ","94,282 ","94,757 ","94,925 ","96,509 ","96,070 "
Total Revenue,0 ,"491,123 ","1,008,254 ","1,042,922 ","1,014,601 ","1,028,660 ","1,991,837 ","1,577,223 ","1,756,666 ","1,540,106 ","1,723,790 ","1,978,437 ","1,652,343 ","1,660,743 ","1,498,994 ","1,945,018 ","1,549,319 ","1,542,850 ","1,808,123 ","1,418,450 ","1,354,513 ","1,358,785 ","2,279,260 ","1,886,164 ","1,821,458 ","1,963,941 ","2,973,116 ","2,311,282 ","2,399,335 ","2,176,899 ","1,843,221 ","1,957,431 ","1,636,781 ","1,710,940 ","2,013,103 ","1,334,231 ","1,985,496 ","2,179,570 ","2,395,446 ","2,237,231 ","2,416,126 ","2,530,686 ","3,364,036 ","2,593,548 ","2,554,634 ","2,364,543 ","2,477,883 ","2,888,684 ","2,347,632 ","2,472,425 "
"Cost of Revenue, Total",--,"246,101 ","416,716 ","455,926 ","415,871 ","400,625 ","977,547 ","992,405 ","987,215 ","1,000,452 ","1,015,766 ","1,098,734 ","1,013,324 ","966,475 ","990,991 ","1,126,028 ","927,935 ","923,066 ","910,450 ","888,627 ","828,067 ","879,055 ","1,309,392 ","1,272,016 ","1,274,316 ","1,373,008 ","1,449,495 ","1,485,813 ","1,532,472 ","1,563,076 ","1,475,072 ","1,484,974 ","1,370,077 ","1,429,366 ","1,389,515 ","1,279,641 ","1,329,806 ","1,413,094 ","1,558,096 ","1,697,725 ","1,957,255 ","1,943,314 ","2,514,704 ","2,152,771 ","2,075,419 ","1,939,374 ","1,745,969 ","1,908,603 ","1,807,971 ","1,641,079 "
Cost of Revenue,--,"246,101 ","416,716 ","455,926 ","415,871 ","400,625 ","977,547 ","992,405 ","987,215 ","1,000,452 ","1,015,766 ","1,098,734 ","1,013,324 ","966,475 ","990,991 ","1,126,028 ","927,935 ","923,066 ","910,450 ","888,627 ","828,067 ","879,055 ","1,309,392 ","1,272,016 ","1,274,316 ","1,373,008 ","1,449,495 ","1,485,813 ","1,532,472 ","1,563,076 ","1,475,072 ","1,484,974 ","1,370,077 ","1,429,366 ","1,389,515 ","1,279,641 ","1,329,806 ","1,413,094 ","1,558,096 ","1,697,725 ","1,957,255 ","1,943,314 ","2,514,704 ","2,152,771 ","2,075,419 ","1,939,374 ","1,745,969 ","1,908,603 ","1,807,971 ","1,641,079 "
