Super Energy Corporation PCL | Ratios - Key Metrics                                25-Sep-2024 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 ,,,,2005 ,,,,2006 ,,,,2007 ,,,,2008 ,,,,2009 ,,,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Mar-2004 ,Jun-2004 ,Sep-2004 ,Dec-2004 ,Mar-2005 ,Jun-2005 ,Sep-2005 ,Dec-2005 ,Mar-2006 ,Jun-2006 ,Sep-2006 ,Dec-2006 ,Mar-2007 ,Jun-2007 ,Sep-2007 ,Dec-2007 ,Mar-2008 ,Jun-2008 ,Sep-2008 ,Dec-2008 ,Mar-2009 ,Jun-2009 ,Sep-2009 ,Dec-2009 ,Mar-2010 ,Jun-2010 ,Sep-2010 ,Dec-2010 ,Mar-2011 ,Jun-2011 ,Sep-2011 ,Dec-2011 ,Mar-2012 ,Jun-2012 ,Sep-2012 ,Dec-2012 ,Mar-2013 ,Jun-2013 ,Sep-2013 ,Dec-2013 ,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,12,7,1,6,1,1,2,4,6,22,28,26,29,32,46,30,23,64,57,67,29,5,6,19,68,11,14,7,4,23,16,11,18,29,30,52,69,74
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,49.8%,55.0%,52.9%,40.3%,58.7%,50.7%,25.5%,3.3%,7.1%,9.2%,6.3%,7.0%,8.7%,3.0%,11.5%,15.2%,12.4%,12.8%,19.3%,13.9%,21.8%,(76.9%),30.5%,(20.2%),16.6%,11.7%,13.2%,(5.5%),42.5%,11.7%,7.2%,33.4%,47.8%,-,-,(25.6%),31.2%,36.6%,27.0%,34.2%,39.8%,37.3%,37.8%,35.8%,40.6%,34.3%,39.4%,55.1%,52.7%,53.8%,59.9%,57.1%,60.4%,58.4%,55.8%,51.4%,60.1%,55.8%,48.0%,52.0%,57.1%,54.7%,47.1%,51.9%,55.2%,51.9%,48.6%,47.4%,52.0%,51.1%,47.8%,44.9%,54.1%,50.4%,43.6%,51.1%,54.9%,49.3%,45.7%,47.6%,53.9%,49.1%
EBITDA Margin,34.8% ,37.1%,43.8%,32.7%,19.6%,47.1%,44.5%,15.4%,(32.7%),(14.0%),(19.0%),(10.4%),(16.3%),(15.1%),(26.1%),3.2%,(6.2%),(23.1%),(25.6%),(24.0%),(42.5%),(150.3%),(122.9%),(31.5%),(175.2%),(3.9%),(14.0%),(8.3%),45.7%,39.0%,(6.5%),(2.6%),39.1%,67.7%,-,178.3%,3311533.3%,50.0%,22.4%,(28.9%),12.5%,18.3%,11.7%,(21.3%),17.8%,10.8%,(155.3%),(95.3%),(30.3%),38.5%,75.5%,80.0%,76.4%,85.9%,86.4%,87.9%,79.0%,86.0%,85.2%,77.7%,74.1%,83.5%,80.2%,79.5%,75.6%,80.4%,78.3%,79.3%,72.7%,86.4%,82.4%,77.9%,88.3%,81.0%,80.3%,75.0%,78.7%,80.1%,74.0%,81.1%,84.7%,78.3%,80.9%
Operating Margin,33.7% ,30.8%,37.2%,25.6%,10.9%,40.0%,36.9%,8.6%,(42.4%),(33.7%),(42.3%),(38.6%),(50.4%),(46.5%),(119.5%),(47.4%),(28.1%),(34.2%),(38.1%),(35.3%),(56.9%),(165.6%),(141.9%),(46.3%),(187.7%),(21.2%),(33.0%),(24.6%),25.7%,31.5%,(21.0%),(25.7%),8.4%,47.4%,-,98.6%,(129810.3%),91.2%,17.2%,(34.4%),3.3%,(2.6%),(15.8%),(51.7%),(20.1%),(25.1%),(188.2%),(133.6%),(194.1%),63.1%,40.5%,49.8%,38.5%,60.0%,54.6%,53.9%,42.2%,55.3%,52.0%,38.9%,38.4%,51.3%,46.4%,124.6%,36.0%,67.1%,35.2%,54.5%,15.0%,67.6%,54.8%,56.1%,40.8%,45.1%,40.0%,29.5%,29.6%,50.7%,38.9%,17.5%,20.8%,35.2%,23.6%
Pretax Margin,29.0% ,30.7%,37.2%,24.8%,5.9%,36.3%,33.2%,5.4%,(48.4%),(46.4%),(58.6%),(58.2%),(73.3%),(68.0%),(140.0%),(60.4%),(40.3%),(45.6%),(50.2%),(46.2%),(70.6%),(179.9%),(228.7%),(80.6%),(227.6%),(22.3%),(41.7%),(27.6%),23.7%,19.6%,(60.3%),(27.8%),(2.9%),47.4%,-,98.6%,(129810.3%),90.8%,16.7%,(34.7%),3.1%,(11.5%),(28.8%),(73.7%),(41.6%),(39.8%),(209.6%),(153.4%),(332.8%),8.9%,2.8%,25.8%,11.2%,38.4%,30.5%,27.3%,12.9%,33.4%,28.3%,12.5%,14.3%,28.7%,23.0%,101.2%,20.6%,47.1%,14.0%,33.5%,(3.5%),50.4%,36.5%,30.6%,15.4%,23.1%,13.2%,0.2%,(3.7%),19.9%,3.4%,(24.5%),(17.5%),(1.2%),(13.1%)
Effective Tax Rate,17.5% ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6%,0.0%,-,-,-,23.2%,-,23.3%,-,1.5%,19.5%,-,(192.6%),-,-,-,-,-,-,-,-,0.7%,5.3%,0.4%,(13.3%),0.6%,0.3%,1.0%,8.7%,(0.1%),1.0%,2.4%,(0.8%),0.7%,3.0%,20.4%,(12.3%),0.5%,7.8%,3.8%,-,2.7%,(2.5%),6.0%,26.7%,2.6%,17.4%,1410.0%,-,3.2%,19.8%,-,-,-,-
Net Margin,17.7% ,30.7%,37.2%,24.8%,5.9%,36.3%,33.2%,5.4%,(49.6%),(46.7%),(59.0%),(60.7%),(73.2%),(68.4%),(140.1%),(60.7%),(40.9%),(45.9%),(50.4%),(46.4%),(71.8%),(179.9%),(228.7%),(80.6%),(228.0%),(22.3%),(41.7%),(27.6%),23.1%,19.6%,(60.3%),(27.8%),(3.1%),36.4%,-,75.6%,(129656.4%),89.5%,13.5%,(35.6%),9.2%,(11.4%),(36.0%),(74.7%),(40.9%),(41.6%),(208.5%),(153.6%),(333.1%),8.9%,2.6%,25.7%,12.7%,38.1%,30.4%,27.0%,11.8%,33.5%,28.0%,12.2%,14.4%,28.5%,22.3%,80.6%,23.1%,46.9%,12.9%,32.2%,0.1%,49.1%,37.4%,28.8%,11.3%,22.5%,10.9%,(3.3%),0.0%,19.3%,2.8%,(22.8%),(7.2%),5.7%,(14.0%)
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,-,0.11 ,0.08 ,0.08 ,0.06 ,0.05 ,0.05 ,0.04 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.06 ,0.05 ,0.06 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.07 ,0.09 ,0.07 ,0.15 ,0.10 ,0.10 ,0.15 ,0.09 ,0.00 ,0.03 ,0.00 ,0.05 ,0.07 ,0.05 ,0.04 ,0.04 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 
x Pretax Margin,29.0% ,30.7%,37.2%,24.8%,5.9%,36.3%,33.2%,5.4%,(48.4%),(46.4%),(58.6%),(58.2%),(73.3%),(68.0%),(140.0%),(60.4%),(40.3%),(45.6%),(50.2%),(46.2%),(70.6%),(179.9%),(228.7%),(80.6%),(227.6%),(22.3%),(41.7%),(27.6%),23.7%,19.6%,(60.3%),(27.8%),(2.9%),47.4%,-,98.6%,(129810.3%),90.8%,16.7%,(34.7%),3.1%,(11.5%),(28.8%),(73.7%),(41.6%),(39.8%),(209.6%),(153.4%),(332.8%),8.9%,2.8%,25.8%,11.2%,38.4%,30.5%,27.3%,12.9%,33.4%,28.3%,12.5%,14.3%,28.7%,23.0%,101.2%,20.6%,47.1%,14.0%,33.5%,(3.5%),50.4%,36.5%,30.6%,15.4%,23.1%,13.2%,0.2%,(3.7%),19.9%,3.4%,(24.5%),(17.5%),(1.2%),(13.1%)
