Earth Tech Environment PCL | Balance Sheet                                25-Sep-2024 16:18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,
,2019,,2020,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2019, Dec-2019, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,5 ,N/A ,46 ,64 ,58 ,66 ,62 ,60 ,48 ,50 ,40 ,28 ,24 ,9 ,4 ,13 ,21 ,42 
Period End Date,30-Sep-2019 ,31-Dec-2019 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"76,862 ","33,751 ","11,971 ","1,436,462 ","1,358,251 ","1,345,834 ","1,262,044 ","1,217,603 ","1,167,871 ","1,004,549 ","837,800 ","802,623 ","1,235,581 ","1,249,276 ","1,835,514 ","1,611,349 ","1,552,120 ","1,725,778 ","1,769,604 "
Cash & Equivalents,"76,862 ","33,751 ","11,971 ","1,436,462 ","1,358,251 ","1,345,834 ","1,262,044 ","1,217,603 ","1,167,871 ","1,004,549 ","837,800 ","802,623 ","1,235,581 ","1,249,276 ","1,835,514 ","1,611,349 ","1,552,120 ","1,725,778 ","1,769,604 "
"Accounts Receivable - Trade, Net","148,069 ","188,080 ","202,045 ","209,968 ","224,579 ","184,526 ","196,677 ","183,120 ","184,508 ","116,373 ","128,848 ","131,760 ","132,638 ","132,041 ","107,999 ","121,561 ","140,419 ","142,653 ","140,609 "
"Accounts Receivable - Trade, Gross","148,069 ","188,080 ","202,045 ","209,968 ","224,579 ","184,526 ","196,677 ","183,120 ","184,508 ","116,373 ","128,848 ","131,760 ","132,638 ","132,041 ","107,999 ","121,561 ","140,419 ","142,653 ","140,609 "
"Total Receivables, Net","156,387 ","195,831 ","204,415 ","213,168 ","229,914 ","184,896 ","263,883 ","272,814 ","285,779 ","311,101 ","404,726 ","410,320 ","429,284 ","413,477 ","415,500 ","438,206 ","424,644 ","419,856 ","238,031 "
Notes Receivable - Short Term,--,--,--,--,--,--,"66,591 ","88,018 ","98,892 ","142,143 ","227,056 ","230,561 ","254,019 ","239,051 ","271,967 ","277,299 ","245,490 ","232,836 ","68,739 "
