Earth Tech Environment PCL | Balance Sheet                                25-Sep-2024 16:18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,
,2019,,2020,,,2021,,,,2022,,,,2023,,,,2024,
Receivables - Other,"8,318 ","7,750 ","2,370 ","3,200 ","5,335 ",370 ,615 ,"1,676 ","2,379 ","52,585 ","48,822 ","47,999 ","42,628 ","42,385 ","35,534 ","39,346 ","38,735 ","44,367 ","28,683 "
Total Inventory,--,757 ,"1,689 ","1,576 ","2,174 ","1,781 ","1,533 ","1,900 ","2,249 ","1,757 ","2,091 ","2,036 ","22,302 ","1,842 ","3,990 ","3,479 ","29,936 ","28,709 ","27,197 "
"Other Current Assets, Total","8,284 ","10,932 ","12,315 ","17,621 ","18,293 ","18,975 ","19,802 ","18,471 ","17,003 ","17,757 ","22,849 ","71,895 ","141,193 ","286,991 ","118,160 ","106,034 ","10,857 ","1,504 ",474 
Other Current Assets,"8,284 ","10,932 ","12,315 ","17,621 ","18,293 ","18,975 ","19,802 ","18,471 ","17,003 ","17,757 ","22,849 ","71,895 ","141,193 ","286,991 ","118,160 ","106,034 ","10,857 ","1,504 ",474 
Total Current Assets,"241,533 ","241,271 ","230,390 ","1,668,827 ","1,608,632 ","1,551,486 ","1,547,262 ","1,510,788 ","1,472,903 ","1,335,164 ","1,267,466 ","1,286,874 ","1,828,360 ","1,951,586 ","2,373,164 ","2,159,068 ","2,017,557 ","2,175,847 ","2,035,306 "
,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Net","2,142,419 ","2,122,018 ","2,193,197 ","2,166,912 ","2,198,346 ","2,174,296 ","2,171,548 ","2,164,606 ","2,151,845 ","2,123,114 ","2,097,275 ","2,072,266 ","2,103,539 ","2,076,183 ","2,334,227 ","2,485,759 ","2,480,128 ","2,526,716 ","1,918,421 "
Long Term Investments,--,--,--,--,--,--,--,--,--,0 ,"3,151 ","3,901 ",0 ,0 ,"2,058 ","3,342 ","1,122 ",0 ,"422,396 "
LT Investment - Affiliate Companies,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"421,411 "
LT Investments - Other,--,--,--,--,--,--,--,--,--,--,"3,151 ","3,901 ",0 ,--,"2,058 ","3,342 ","1,122 ",0 ,985 
Note Receivable - Long Term,--,--,--,--,--,--,"34,342 ","16,956 ",--,"89,182 ","141,768 ","126,325 ","110,585 ","94,542 ",0 ,0 ,0 ,--,--
"Other Long Term Assets, Total","134,806 ","232,853 ","204,536 ","208,629 ","218,419 ","272,057 ","291,228 ","303,059 ","344,872 ","373,709 ","401,284 ","406,146 ","509,070 ","420,704 ","427,828 ","471,630 ","603,237 ","382,770 ","311,228 "
Defered Income Tax - Long Term Asset,--,"1,181 ",415 ,466 ,503 ,503 ,503 ,"2,035 ","3,805 ","3,640 ","3,448 ","3,468 ","2,592 ","2,654 ","1,653 ","2,153 ","2,370 ","1,611 ","2,587 "
Restricted Cash - Long Term,--,"136,716 ",--,--,"203,307 ","259,416 ","279,125 ","289,424 ","324,737 ","351,371 ","379,138 ","383,980 ","409,458 ","401,042 ","409,248 ","452,271 ","488,704 ","268,998 ","295,436 "
Other Long Term Assets,"134,806 ","94,957 ","204,121 ","208,163 ","14,609 ","12,138 ","11,600 ","11,600 ","16,331 ","18,698 ","18,698 ","18,698 ","97,020 ","17,008 ","16,927 ","17,206 ","112,162 ","112,161 ","13,205 "
Total Assets,"2,518,758 ","2,596,142 ","2,628,123 ","4,044,368 ","4,025,397 ","3,997,839 ","4,044,380 ","3,995,409 ","3,969,620 ","3,921,169 ","3,910,944 ","3,895,512 ","4,551,554 ","4,543,015 ","5,137,277 ","5,119,799 ","5,102,044 ","5,085,333 ","4,687,351 "
,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,
Accounts Payable,"72,990 ","136,745 ","133,526 ","126,989 ","111,476 ","113,053 ","141,667 ","124,073 ","127,036 ","92,422 ","109,018 ","128,605 ","111,882 ","115,113 ","116,917 ","110,477 ","89,242 ","94,803 ","127,752 "
Notes Payable/Short Term Debt,"30,000 ","27,583 ","41,705 ","13,240 ","12,240 ","2,468 ","27,000 ","18,800 ","11,300 ","10,200 ","23,214 ","23,000 ","235,351 ","287,635 ","348,758 ","353,446 ","369,134 ","385,721 ","532,566 "
Current Port. of LT Debt/Capital Leases,"190,896 ","259,991 ","285,031 ","287,243 ","290,252 ","292,592 ","294,540 ","295,271 ","297,895 ","299,961 ","302,538 ","305,384 ","307,784 ","270,683 ","133,109 ","133,582 ","133,975 ","133,961 ","133,883 "
"Other Current liabilities, Total",--,0 ,--,9 ,19 ,19 ,0 ,47 ,0 ,"21,073 ","1,943 ","3,408 ","32,109 ","34,434 ","32,029 ","33,609 ","41,991 ","41,860 ",332 
Income Taxes Payable,--,0 ,--,9 ,19 ,19 ,0 ,47 ,0 ,--,"1,943 ","3,408 ",754 ,957 ,"1,033 ",88 ,101 ,30 ,25 
Other Payables,--,--,--,--,--,--,--,--,--,"21,073 ",--,--,"31,355 ","33,477 ","30,996 ","33,521 ","41,891 ","41,830 ",307 
Total Current Liabilities,"293,886 ","424,319 ","460,262 ","427,481 ","413,987 ","408,132 ","463,207 ","438,191 ","436,231 ","423,656 ","436,713 ","460,397 ","687,127 ","707,865 ","630,813 ","631,114 ","634,343 ","656,345 ","794,533 "
,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"1,318,772 ","1,261,027 ","1,172,393 ","1,098,112 ","1,023,396 ","956,214 ","881,356 ","803,433 ","727,448 ","658,025 ","580,125 ","501,255 ","951,489 ","920,362 ","1,584,262 ","1,553,183 ","1,518,981 ","1,488,429 ","891,224 "
Long Term Debt,"1,318,772 ","1,261,027 ","1,124,591 ","1,050,516 ","975,837 ","908,259 ","832,252 ","755,502 ","679,160 ","609,583 ","531,454 ","452,961 ","867,411 ","835,413 ","1,497,849 ","1,466,466 ","1,435,075 ","1,403,649 ","874,645 "
Capital Lease Obligations,--,0 ,"47,802 ","47,596 ","47,559 ","47,955 ","49,104 ","47,931 ","48,288 ","48,442 ","48,671 ","48,294 ","84,078 ","84,949 ","86,413 ","86,717 ","83,907 ","84,780 ","16,579 "
Total Debt,"1,539,668 ","1,548,601 ","1,499,129 ","1,398,595 ","1,325,888 ","1,251,274 ","1,202,896 ","1,117,504 ","1,036,643 ","968,186 ","905,877 ","829,639 ","1,494,625 ","1,478,680 ","2,066,129 ","2,040,211 ","2,022,091 ","2,008,111 ","1,557,673 "
Minority Interest,"10,317 ","10,451 ","13,369 ","15,152 ","17,202 ","18,445 ","20,812 ","21,835 ","22,876 ","24,279 ","26,080 ","27,295 ","28,021 ","28,557 ","29,387 ","30,075 ","31,468 ","32,169 ","33,711 "
"Other Liabilities, Total","15,956 ","17,304 ","16,875 ","16,714 ","18,969 ","18,661 ","18,140 ","18,739 ","43,475 ","28,804 ","16,091 ","13,851 ","13,829 ","14,167 ","13,848 ","16,203 ","17,153 ","14,384 ","15,250 "
Pension Benefits - Underfunded,"6,732 ","7,589 ","8,524 ","8,992 ","8,722 ","9,208 ","9,691 ","10,173 ","10,656 ","11,158 ","11,661 ","12,164 ","12,125 ","12,823 ","13,521 ","14,128 ","16,252 ","11,567 ","12,607 "
Other Long Term Liabilities,"9,224 ","9,715 ","8,351 ","7,722 ","10,247 ","9,453 ","8,449 ","8,566 ","32,820 ","17,646 ","4,430 ","1,687 ","1,704 ","1,344 ",327 ,"2,075 ",900 ,"2,817 ","2,643 "
Total Liabilities,"1,638,931 ","1,713,102 ","1,662,899 ","1,557,459 ","1,473,555 ","1,401,452 ","1,383,515 ","1,282,198 ","1,230,031 ","1,134,764 ","1,059,009 ","1,002,798 ","1,680,466 ","1,670,951 ","2,258,310 ","2,230,575 ","2,201,945 ","2,191,327 ","1,734,718 "
,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,
"Common Stock, Total","820,000 ","820,000 ","820,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 "
Common Stock,"820,000 ","820,000 ","820,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 ","1,120,000 "
Additional Paid-In Capital,--,--,--,"1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 ","1,173,586 "
Retained Earnings (Accumulated Deficit),"59,827 ","63,041 ","145,224 ","193,323 ","258,256 ","302,801 ","367,279 ","419,625 ","446,003 ","492,819 ","558,349 ","599,128 ","577,502 ","578,478 ","585,381 ","595,638 ","606,513 ","600,420 ","659,047 "
Total Equity,"879,827 ","883,041 ","965,224 ","2,486,909 ","2,551,843 ","2,596,387 ","2,660,865 ","2,713,211 ","2,739,589 ","2,786,405 ","2,851,935 ","2,892,714 ","2,871,088 ","2,872,064 ","2,878,967 ","2,889,224 ","2,900,099 ","2,894,006 ","2,952,633 "
,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"2,518,758 ","2,596,142 ","2,628,123 ","4,044,368 ","4,025,397 ","3,997,839 ","4,044,380 ","3,995,409 ","3,969,620 ","3,921,169 ","3,910,944 ","3,895,512 ","4,551,554 ","4,543,015 ","5,137,277 ","5,119,799 ","5,102,044 ","5,085,333 ","4,687,351 "
,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"1,640,000 ","1,640,000 ","1,640,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 "
Shares Outs - Common Stock Primary Issue,"1,640,000 ","1,640,000 ","1,640,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,"10,317 ","10,451 ","13,369 ","15,152 ","17,202 ","18,445 ","20,812 ","21,835 ","22,876 ","24,279 ","26,080 ","27,295 ","28,021 ","28,557 ","29,387 ","30,075 ","31,468 ","32,169 ","33,711 "
Total Equity & Minority Interest,"890,144 ","893,492 ","978,593 ","2,502,061 ","2,569,045 ","2,614,832 ","2,681,677 ","2,735,046 ","2,762,465 ","2,810,684 ","2,878,015 ","2,920,009 ","2,899,109 ","2,900,621 ","2,908,354 ","2,919,299 ","2,931,567 ","2,926,175 ","2,986,344 "
Other Property/Plant/Equipment - Net,"2,142,419 ","2,122,018 ","2,193,197 ","2,166,912 ","2,198,346 ","2,174,296 ","2,171,548 ","2,164,606 ","2,151,845 ","2,123,114 ","2,097,275 ","2,072,266 ","2,103,539 ","2,076,183 ","2,334,227 ","2,485,759 ","2,480,128 ","2,526,716 ","1,918,421 "
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,"127,771 ","126,247 ","124,738 ","123,259 ","121,764 ","120,252 ","114,010 ","112,531 ","111,036 ","109,524 ","125,508 ","124,116 ","152,857 ","151,188 ","149,999 ","148,289 ","46,913 "
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,"1,367 ","1,490 ","1,529 ","1,818 ","1,866 ","2,511 ","2,579 ","2,571 ","2,818 ","2,503 ","2,420 ","2,555 ","2,891 ","3,144 ","2,987 ","2,767 "
Total Current Assets less Inventory,"241,533 ","240,514 ","228,701 ","1,667,251 ","1,606,458 ","1,549,705 ","1,545,729 ","1,508,888 ","1,470,653 ","1,333,407 ","1,265,375 ","1,284,838 ","1,806,058 ","1,949,744 ","2,369,174 ","2,155,589 ","1,987,621 ","2,147,138 ","2,008,109 "
Net Debt Incl. Pref.Stock & Min.Interest,"1,473,123 ","1,525,302 ","1,500,527 ","(22,715)","(15,161)","(76,115)","(38,336)","(78,264)","(108,352)","(12,084)","94,157 ","54,311 ","287,065 ","257,961 ","260,002 ","458,937 ","501,439 ","314,502 ","(178,220)"
"Tangible Book Value, Common Equity","879,827 ","883,041 ","965,224 ","2,486,909 ","2,551,843 ","2,596,387 ","2,660,865 ","2,713,211 ","2,739,589 ","2,786,405 ","2,851,935 ","2,892,714 ","2,871,088 ","2,872,064 ","2,878,967 ","2,889,224 ","2,900,099 ","2,894,006 ","2,952,633 "
