Thachang Green Energy PCL | Ratios - Key Metrics                                25-Sep-2024 16:16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,
,,2020 ,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,24,N/A,N/A,N/A,N/A,N/A,N/A,53,62,N/A,64,30,34,31,48,44,55
Profitability,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,39.0%,31.6%,38.3%,36.3%,39.2%,29.7%,33.5%,33.4%,32.5%,31.8%,36.2%,35.5%,31.6%,31.1%,35.0%,36.3%
EBITDA Margin,34.8% ,34.7%,46.0%,49.0%,47.8%,52.5%,43.7%,44.4%,46.1%,42.6%,41.9%,47.0%,46.2%,57.1%,45.1%,45.5%,48.4%
Operating Margin,33.7% ,34.5%,30.4%,33.3%,32.1%,35.6%,27.5%,29.0%,30.4%,26.8%,28.0%,31.7%,30.3%,37.3%,28.0%,30.6%,32.6%
Pretax Margin,29.0% ,27.9%,23.6%,27.2%,26.1%,29.2%,21.5%,23.4%,24.7%,20.7%,23.7%,26.8%,25.3%,32.1%,22.3%,26.3%,28.2%
Effective Tax Rate,17.5% ,(0.2%),0.4%,(0.2%),(0.1%),1.4%,(0.8%),0.3%,2.2%,(2.7%),1.0%,0.0%,1.5%,2.5%,1.2%,5.1%,5.1%
Net Margin,17.7% ,27.9%,23.5%,27.3%,26.2%,28.8%,21.7%,23.3%,24.2%,21.2%,23.5%,26.8%,24.9%,31.3%,22.1%,24.9%,26.8%
DuPont/Earning Power,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,-,-,0.08 ,0.08 ,0.08 ,0.08 ,0.08 ,0.07 ,0.07 ,0.07 ,0.06 ,0.08 ,0.07 
x Pretax Margin,29.0% ,27.9%,23.6%,27.2%,26.1%,29.2%,21.5%,23.4%,24.7%,20.7%,23.7%,26.8%,25.3%,32.1%,22.3%,26.3%,28.2%
Pretax ROA,1.5% ,-,-,-,-,-,1.7%,1.9%,2.1%,1.6%,1.8%,1.9%,1.8%,2.2%,1.4%,2.0%,2.0%
x Leverage (Assets/Equity),3.47 ,-,-,-,-,2.68 ,2.54 ,3.64 ,3.23 ,1.65 ,1.60 ,1.55 ,1.51 ,1.48 ,1.45 ,1.41 ,1.37 
Pretax ROE,4.6% ,-,-,-,-,-,4.5%,5.6%,7.2%,3.4%,2.9%,3.0%,2.7%,3.3%,2.1%,2.9%,2.8%
x Tax Complement,0.73 ,1.00 ,1.00 ,1.00 ,1.00 ,0.99 ,1.01 ,1.00 ,0.98 ,1.03 ,0.99 ,1.00 ,0.98 ,0.97 ,0.99 ,0.95 ,0.95 
ROE,3.0% ,-,-,-,-,-,4.5%,5.6%,7.0%,3.4%,2.9%,3.0%,2.7%,3.2%,2.0%,2.7%,2.6%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.91 ,1.00 ,1.00 ,1.00 ,0.88 ,1.00 ,1.00 
Reinvestment Rate,2.0% ,-,-,-,-,-,4.5%,5.6%,7.0%,3.4%,2.6%,3.0%,2.7%,3.2%,1.8%,2.7%,2.6%
Liquidity,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,-,-,0.66 ,0.85 ,0.49 ,0.35 ,2.84 ,2.56 ,2.47 ,2.33 ,2.15 ,2.11 ,1.92 ,1.97 
Current Ratio,0.81 ,-,-,-,-,1.09 ,1.19 ,0.65 ,0.48 ,3.17 ,2.90 ,2.84 ,2.63 ,2.50 ,2.45 ,2.24 ,2.33 
Times Interest Earned,3.6 ,5.2 ,4.4 ,5.6 ,5.3 ,5.7 ,4.6 ,5.1 ,5.4 ,4.5 ,6.5 ,6.5 ,6.0 ,7.8 ,4.8 ,7.2 ,7.4 
Cash Cycle (Days),46.5 ,-,-,-,-,-,150.5 ,25.2 ,9.7 ,113.9 ,108.2 ,124.4 ,119.1 ,117.0 ,123.6 ,105.5 ,121.1 
Leverage,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,-,-,-,2.68 ,2.54 ,3.64 ,3.23 ,1.65 ,1.60 ,1.55 ,1.51 ,1.48 ,1.45 ,1.41 ,1.37 
Debt/Equity,1.39 ,-,-,-,-,1.53 ,1.40 ,1.95 ,2.05 ,0.58 ,0.54 ,0.49 ,0.45 ,0.42 ,0.38 ,0.35 ,0.32 
% LT Debt to Total Capital,38.9% ,-,-,-,-,51.3%,49.1%,55.3%,42.5%,29.5%,27.8%,25.8%,24.1%,22.4%,20.7%,18.8%,17.1%
(Total Debt - Cash) / EBITDA,29.61 ,-,-,-,-,-,15.76 ,14.28 ,14.10 ,10.59 ,4.58 ,4.61 ,4.56 ,3.74 ,4.69 ,3.69 ,3.56 
Operating,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,-,-,-,1.1 ,1.1 ,1.2 ,1.2 ,1.3 ,1.2 ,1.3 ,1.2 ,1.2 ,1.4 ,1.2 
Avg. A/R Days,82.0 ,-,-,-,-,-,86.4 ,86.0 ,75.9 ,74.1 ,69.3 ,74.3 ,72.7 ,73.6 ,74.5 ,64.3 ,73.7 
Inv Turnover,5.1 ,-,-,-,-,-,1.2 ,1.3 ,1.5 ,1.5 ,1.6 ,1.4 ,1.5 ,1.6 ,1.3 ,1.6 ,1.4 
Avg. Inventory Days,17.8 ,-,-,-,-,-,76.2 ,70.2 ,62.6 ,59.1 ,55.4 ,67.3 ,61.7 ,57.9 ,67.8 ,57.7 ,64.2 
Avg. A/P Days,83.6 ,-,-,-,-,-,12.1 ,131.0 ,128.8 ,19.3 ,16.5 ,17.2 ,15.3 ,14.5 ,18.7 ,16.5 ,16.8 
Fixed Asset Turnover,0.11 ,-,-,-,-,-,0.11 ,0.11 ,0.11 ,0.12 ,0.13 ,0.12 ,0.12 ,0.11 ,0.10 ,0.12 ,0.12 
WC / Sales Growth,(10.9%) ,-,-,-,-,-,-,(62.9%),(92.3%),207.2%,183.3%,(6.6%),(22.1%),(16.1%),8.3%,(54.5%),3.9%
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,-,-,-,2.0%,2.3%,2.8%,2.0%,2.0%,2.1%,1.9%,2.3%,1.5%,2.1%,2.1%
