Sermsang Power Corporation PCL | Ratios - Key Metrics                                25-Sep-2024 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,24,N/A,N/A,N/A,11,N/A,N/A,N/A,4,5,3,5,3,4,5,8,9,11,17,12,22,24,12,18,33,32,48,48,N/A,38,26,58,62,29,32
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,80.8%,81.1%,80.3%,79.9%,81.0%,81.8%,80.7%,79.5%,76.3%,72.8%,69.8%,62.2%,66.7%,74.5%,66.6%,62.4%,65.0%,60.3%,58.8%,53.6%,57.7%,61.1%,59.2%,52.6%,58.9%,70.6%,56.1%,53.0%,59.0%,58.6%,56.8%,51.3%,56.7%,49.9%
EBITDA Margin,34.8% ,73.9%,81.0%,85.9%,59.3%,64.1%,64.8%,62.0%,59.6%,76.3%,81.2%,73.5%,65.6%,73.4%,72.6%,75.4%,70.4%,102.2%,60.8%,80.1%,69.5%,78.6%,79.1%,79.8%,71.7%,76.0%,85.2%,86.5%,65.2%,76.5%,80.1%,75.4%,61.6%,72.4%,73.5%
Operating Margin,33.7% ,73.9%,81.0%,72.0%,45.0%,64.1%,64.8%,48.2%,45.0%,59.4%,63.0%,53.8%,45.3%,53.6%,55.3%,51.7%,45.2%,70.5%,45.5%,54.8%,48.7%,54.0%,56.7%,60.1%,38.5%,48.0%,64.6%,56.0%,36.4%,48.2%,51.9%,49.9%,33.3%,45.9%,41.0%
Pretax Margin,29.0% ,57.0%,64.4%,54.6%,28.5%,46.6%,47.7%,28.1%,34.1%,47.9%,51.9%,40.1%,32.4%,39.2%,44.1%,38.8%,31.8%,55.1%,32.4%,41.7%,31.9%,38.6%,45.2%,46.9%,24.1%,34.0%,55.7%,39.6%,18.8%,35.2%,34.0%,30.3%,19.5%,29.5%,15.5%
Effective Tax Rate,17.5% ,0.0%,0.0%,1.8%,(3.6%),0.0%,0.0%,13.1%,0.2%,0.0%,0.0%,0.3%,1.3%,0.0%,5.4%,1.3%,0.7%,1.5%,2.2%,3.4%,3.6%,5.3%,5.9%,6.4%,9.6%,1.7%,(0.4%),6.3%,14.5%,7.0%,12.2%,8.7%,12.3%,6.9%,18.0%
Net Margin,17.7% ,57.0%,64.4%,53.6%,29.6%,46.6%,47.7%,24.4%,34.0%,47.8%,51.9%,40.0%,31.9%,39.2%,41.7%,38.3%,31.6%,54.3%,31.7%,40.3%,30.7%,36.5%,42.6%,43.9%,21.7%,33.4%,55.9%,37.2%,16.1%,32.8%,29.9%,27.6%,17.1%,27.5%,12.7%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,0.04 ,-,-,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.03 ,0.05 ,0.03 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.03 
x Pretax Margin,29.0% ,57.0%,64.4%,54.6%,28.5%,46.6%,47.7%,28.1%,34.1%,47.9%,51.9%,40.1%,32.4%,39.2%,44.1%,38.8%,31.8%,55.1%,32.4%,41.7%,31.9%,38.6%,45.2%,46.9%,24.1%,34.0%,55.7%,39.6%,18.8%,35.2%,34.0%,30.3%,19.5%,29.5%,15.5%
Pretax ROA,1.5% ,-,-,-,1.3%,-,-,0.9%,0.9%,1.2%,1.7%,1.1%,0.9%,1.0%,1.4%,1.2%,0.9%,1.5%,1.4%,1.6%,1.0%,1.3%,1.6%,1.6%,0.8%,1.2%,2.7%,1.3%,0.6%,1.3%,1.2%,1.1%,0.7%,1.0%,0.5%
x Leverage (Assets/Equity),3.47 ,-,-,3.78 ,4.00 ,-,3.90 ,2.37 ,2.50 ,2.60 ,2.87 ,3.23 ,3.37 ,3.38 ,3.58 ,3.50 ,3.45 ,3.75 ,3.71 ,3.78 ,3.79 ,3.67 ,3.86 ,4.34 ,4.09 ,3.80 ,3.05 ,2.96 ,2.74 ,2.68 ,2.72 ,2.66 ,2.62 ,3.35 ,3.36 
