BBGI PCL | Ratios - Key Metrics                                25-Sep-2024 16:09,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,
,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,51,N/A,N/A,N/A,57,N/A,N/A,N/A,32,19,27,31,48,55,28
Profitability,,,,,,,,,,,,,,,
Gross Margin,31.7% ,10.8%,6.5%,6.5%,5.7%,8.6%,1.1%,(0.1%),3.4%,2.5%,1.9%,3.3%,4.5%,4.8%,2.8%
EBITDA Margin,22.1% ,12.2%,8.0%,8.0%,6.4%,9.2%,2.4%,1.3%,4.5%,3.8%,4.0%,4.9%,6.0%,5.8%,3.9%
Operating Margin,20.6% ,9.2%,5.0%,24.0%,3.8%,6.5%,(0.4%),(2.3%),1.2%,0.0%,0.8%,1.4%,3.2%,3.4%,1.8%
Pretax Margin,19.6% ,8.8%,4.6%,23.8%,3.1%,5.8%,(1.1%),(3.2%),0.5%,(0.8%),0.0%,0.8%,2.8%,3.0%,1.3%
Effective Tax Rate,22.9% ,8.7%,9.2%,15.2%,(3.9%),8.5%,-,-,(16.3%),-,-,14.5%,4.2%,4.4%,8.9%
Net Margin,11.8% ,8.0%,4.2%,20.1%,3.3%,5.3%,(0.9%),(3.0%),0.6%,(0.9%),(0.3%),0.7%,2.6%,2.9%,1.2%
DuPont/Earning Power,,,,,,,,,,,,,,,
Asset Turnover,0.15 ,-,-,-,-,-,0.21 ,0.19 ,0.22 ,0.20 ,0.21 ,0.26 ,0.31 ,0.34 ,0.34 
x Pretax Margin,19.6% ,8.8%,4.6%,23.8%,3.1%,5.8%,(1.1%),(3.2%),0.5%,(0.8%),0.0%,0.8%,2.8%,3.0%,1.3%
Pretax ROA,2.3% ,-,-,-,-,-,(0.2%),(0.6%),0.1%,(0.2%),0.0%,0.2%,0.9%,1.0%,0.4%
x Leverage (Assets/Equity),1.97 ,-,-,-,-,1.56 ,1.52 ,1.50 ,1.45 ,1.55 ,1.49 ,1.45 ,1.45 ,1.60 ,1.60 
Pretax ROE,4.9% ,-,-,-,-,-,(0.4%),(0.9%),0.2%,(0.3%),0.0%,0.3%,1.2%,1.6%,0.7%
x Tax Complement,0.72 ,0.68 ,0.65 ,0.79 ,0.46 ,0.61 ,-,-,0.93 ,-,-,0.06 ,0.68 ,0.81 ,0.59 
ROE,3.2% ,-,-,-,-,-,(0.5%),(0.7%),0.1%,(0.3%),(0.4%),0.0%,0.8%,1.3%,0.4%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(0.66),-,-,(8.37),-,-,1.00 ,0.09 ,1.00 ,1.00 
Reinvestment Rate,1.1% ,-,-,-,-,-,(1.2%),(0.7%),(1.2%),(0.3%),(0.4%),0.0%,0.1%,1.3%,0.4%
Liquidity,,,,,,,,,,,,,,,
Quick Ratio,1.30 ,-,-,-,-,2.06 ,2.26 ,2.14 ,2.89 ,1.47 ,1.14 ,1.21 ,1.34 ,0.90 ,0.92 
Current Ratio,1.47 ,-,-,-,-,2.79 ,3.17 ,2.77 ,3.50 ,2.34 ,1.78 ,1.83 ,1.72 ,1.45 ,1.40 
Times Interest Earned,11.5 ,13.6 ,6.4 ,5.0 ,5.7 ,9.2 ,(1.0),(2.9),1.9 ,(0.1),0.2 ,2.6 ,7.6 ,10.2 ,3.9 
Cash Cycle (Days),17.4 ,-,-,-,-,-,59.5 ,61.6 ,49.1 ,66.2 ,73.9 ,55.2 ,39.4 ,37.5 ,42.0 
Leverage,,,,,,,,,,,,,,,
Assets/Equity,1.97 ,-,-,-,-,1.56 ,1.52 ,1.50 ,1.45 ,1.55 ,1.49 ,1.45 ,1.45 ,1.60 ,1.60 
Debt/Equity,0.24 ,-,-,-,-,0.41 ,0.36 ,0.37 ,0.29 ,0.37 ,0.34 ,0.29 ,0.27 ,0.32 ,0.36 
% LT Debt to Total Capital,13.2% ,-,-,-,-,17.6%,18.1%,15.7%,16.7%,14.2%,7.3%,6.7%,5.6%,4.5%,3.9%
(Total Debt - Cash) / EBITDA,2.27 ,-,-,-,-,-,2.35 ,4.88 ,1.04 ,5.11 ,6.29 ,2.69 ,1.10 ,2.54 ,6.92 
Operating,,,,,,,,,,,,,,,
