Earth Tech Environment PCL | Income Statement                                25-Sep-2024 16:18,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,
,2019,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,5 ,N/A ,N/A ,46 ,64 ,58 ,66 ,62 ,60 ,48 ,50 ,40 ,28 ,24 ,9 ,4 ,13 ,21 ,42 
Period End Date,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"91,326 ","109,895 ","134,901 ","175,943 ","172,563 ","187,160 ","172,637 ","190,079 ","175,090 ","192,405 ","176,046 ","194,013 ","184,377 ","183,832 ","175,635 ","160,501 ","178,697 ","193,551 ","182,519 ","191,808 "
Net Sales,"91,326 ","109,895 ","134,901 ","175,943 ","172,563 ","187,160 ","172,637 ","190,079 ","175,090 ","192,405 ","176,046 ","194,013 ","184,377 ","183,832 ","175,635 ","160,501 ","178,697 ","193,551 ","182,519 ","191,808 "
Total Revenue,"91,326 ","109,895 ","134,901 ","175,943 ","172,563 ","187,160 ","172,637 ","190,079 ","175,090 ","192,405 ","176,046 ","194,013 ","184,377 ","183,832 ","175,635 ","160,501 ","178,697 ","193,551 ","182,519 ","191,808 "
"Cost of Revenue, Total","45,862 ","56,696 ","65,843 ","77,171 ","85,662 ","84,312 ","88,174 ","92,201 ","100,300 ","110,203 ","106,706 ","112,879 ","114,458 ","133,481 ","129,144 ","118,977 ","118,808 ","119,056 ","127,803 ","119,253 "
Cost of Revenue,"45,862 ","56,696 ","65,843 ","77,171 ","85,662 ","84,312 ","88,174 ","92,201 ","100,300 ","110,203 ","106,706 ","112,879 ","114,458 ","133,481 ","129,144 ","118,977 ","118,808 ","119,056 ","127,803 ","119,253 "
Gross Profit,"45,464 ","53,199 ","69,058 ","98,772 ","86,901 ","102,848 ","84,463 ","97,878 ","74,790 ","82,202 ","69,340 ","81,134 ","69,919 ","50,351 ","46,491 ","41,524 ","59,889 ","74,495 ","54,716 ","72,555 "
,,,,,,,,,,,,,,,,,,,,
