Teera-Mongkol Industry PCL | Ratios - Key Metrics                                25-Sep-2024 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Mar-2010 ,Jun-2010 ,Sep-2010 ,Dec-2010 ,Mar-2011 ,Jun-2011 ,Sep-2011 ,Dec-2011 ,Mar-2012 ,Jun-2012 ,Sep-2012 ,Dec-2012 ,Mar-2013 ,Jun-2013 ,Sep-2013 ,Dec-2013 ,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,39,16,41,66,60,77,80,79,81,71,18,2,14,25,28,19,4,2,6,39,46,54,39,44,43,28,38,21,4,2,1,1,2,5,22,36,71,73,68,59
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,28.5% ,27.2%,24.8%,24.4%,24.5%,26.2%,24.2%,23.0%,24.1%,27.5%,27.1%,25.6%,27.4%,29.2%,30.1%,28.3%,27.6%,26.8%,26.7%,28.7%,31.5%,28.6%,27.6%,29.0%,29.1%,32.7%,31.0%,30.5%,34.9%,32.7%,27.9%,30.1%,29.1%,32.9%,27.6%,32.3%,24.2%,33.3%,32.2%,32.6%,35.0%,32.9%,34.2%,34.8%,35.3%,35.1%,33.1%,28.9%,29.7%,33.1%,33.9%,34.7%,30.6%,35.6%,35.8%,31.9%,30.3%,32.5%,32.0%
EBITDA Margin,13.2% ,17.7%,8.7%,11.2%,12.3%,12.7%,8.1%,7.9%,8.2%,14.9%,11.6%,8.6%,6.2%,10.5%,7.4%,5.6%,3.5%,0.3%,(1.5%),6.5%,5.9%,5.6%,(2.0%),0.0%,9.0%,5.4%,1.8%,(1.6%),10.7%,4.2%,(5.1%),(8.9%),(3.5%),(4.7%),(7.8%),(1.3%),8.1%,6.7%,(1.5%),1.8%,7.6%,3.6%,9.2%,10.8%,10.9%,7.5%,6.2%,4.0%,6.5%,11.8%,13.4%,14.6%,9.0%,20.6%,20.6%,12.5%,9.5%,12.5%,11.8%
Operating Margin,9.7% ,15.3%,5.8%,8.6%,10.0%,9.9%,4.9%,4.9%,5.8%,12.9%,9.0%,6.1%,3.9%,8.1%,4.8%,2.9%,0.7%,(3.0%),(4.7%),4.2%,3.9%,3.5%,(4.3%),(2.5%),6.8%,2.9%,(0.7%),(4.4%),8.6%,1.6%,(7.7%),(11.5%),(5.9%),(7.0%),(10.7%),(4.0%),4.0%,2.8%,(5.8%),(2.8%),3.4%,(1.5%),4.9%,6.7%,6.7%,3.1%,2.2%,(0.2%),1.8%,7.3%,8.4%,9.8%,4.2%,15.6%,14.1%,5.1%,1.9%,5.8%,4.6%
Pretax Margin,10.4% ,15.0%,5.3%,8.4%,9.8%,9.7%,4.1%,4.3%,5.1%,12.3%,8.4%,5.3%,3.2%,7.3%,3.7%,0.9%,(0.6%),(4.2%),(6.1%),3.1%,2.7%,2.4%,(5.4%),(3.8%),6.1%,2.2%,(1.8%),(6.3%),7.5%,1.0%,(8.6%),(12.6%),(6.7%),(7.7%),(12.0%),(5.7%),2.0%,0.7%,(8.4%),(5.6%),1.0%,(4.1%),3.1%,5.0%,4.9%,1.2%,0.2%,(2.7%),(0.9%),4.8%,5.8%,7.4%,1.5%,11.1%,9.3%,0.0%,(3.0%),1.3%,0.0%
Effective Tax Rate,21.5% ,30.7%,(0.3%),30.5%,32.1%,11.1%,10.2%,10.2%,(1.1%),4.1%,1.4%,1.6%,(2.2%),5.4%,0.5%,(7.0%),-,-,-,(3.9%),(3.6%),23.0%,-,-,7.7%,(10.9%),-,-,0.9%,(53.3%),-,-,-,-,-,-,(22.1%),16.9%,-,-,(47.5%),-,(48.5%),(2.7%),(9.1%),22.1%,(63.3%),-,-,(4.0%),23.9%,28.9%,(58.5%),24.8%,30.7%,-,-,106.1%,-
Net Margin,7.7% ,10.4%,5.3%,5.8%,6.7%,8.6%,3.7%,3.8%,5.2%,11.8%,8.3%,5.2%,3.3%,6.9%,3.7%,1.0%,(0.6%),(4.1%),(6.0%),3.2%,2.7%,1.9%,(4.7%),(3.8%),5.6%,2.4%,(1.7%),(6.0%),7.4%,1.6%,(7.9%),(12.5%),(6.7%),(6.9%),(12.0%),(3.6%),2.5%,0.6%,(7.2%),(4.8%),1.5%,(4.0%),4.5%,5.2%,5.3%,0.9%,0.3%,(2.6%),(0.5%),5.0%,4.4%,5.2%,2.4%,8.4%,6.5%,(1.2%),(4.0%),(0.1%),(0.8%)
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
