Lighting and Equipment PCL | Income Statement                                25-Sep-2024 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2003, Jun-2003, Sep-2003, Dec-2003, Mar-2004, Jun-2004, Sep-2004, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,12 ,8 ,3 ,2 ,3 ,2 ,12 ,46 ,45 ,68 ,90 ,83 ,80 ,67 ,8 ,17 ,19 ,16 ,33 ,50 ,45 ,54 ,62 ,58 ,63 ,59 ,58 ,56 ,47 ,36 ,22 ,18 ,32 ,28 ,12 ,13 ,10 ,18 ,36 ,41 ,32 
Period End Date,31-Mar-2003 ,30-Jun-2003 ,30-Sep-2003 ,31-Dec-2003 ,31-Mar-2004 ,30-Jun-2004 ,30-Sep-2004 ,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"143,630 ","183,056 ","210,794 ","247,972 ","200,792 ","222,658 ","314,150 ","392,948 ","281,747 ","333,025 ","343,249 ","430,861 ","285,581 ","329,778 ","464,032 ","469,271 ","319,666 ","320,059 ","361,589 ","410,784 ","387,444 ","387,395 ","408,263 ","427,884 ","362,765 ","301,061 ","374,615 ","426,489 ","374,756 ","336,014 ","439,057 ","472,994 ","437,092 ","415,488 ","592,396 ","572,242 ","522,992 ","473,812 ","590,709 ","672,203 ","502,533 ","511,445 ","668,196 ","775,407 ","591,777 ","596,345 ","786,837 ","635,048 ","573,955 ","651,268 ","676,969 ","766,507 ","675,346 ","636,583 ","739,595 ","884,882 ","548,821 ","575,472 ","675,122 ","753,364 ","626,510 ","684,368 ","726,901 ","885,533 ","597,918 ","547,984 ","715,579 ","847,380 ","568,151 ","484,971 ","712,188 ","646,983 ","555,217 ","628,924 ","664,267 ","829,422 ","804,177 ","825,721 ","786,452 ","803,835 ","658,358 ","635,953 ","682,663 ","769,928 ","554,390 ","577,866 "
Net Sales,"143,630 ","183,056 ","210,794 ","247,972 ","200,792 ","222,658 ","314,150 ","392,948 ","281,747 ","333,025 ","343,249 ","430,861 ","285,581 ","329,778 ","464,032 ","469,271 ","319,666 ","320,059 ","361,589 ","410,784 ","387,444 ","387,395 ","408,263 ","427,884 ","362,765 ","301,061 ","374,615 ","426,489 ","374,756 ","336,014 ","439,057 ","472,994 ","437,092 ","415,488 ","592,396 ","572,242 ","522,992 ","473,812 ","590,709 ","672,203 ","502,533 ","511,445 ","668,196 ","775,407 ","591,777 ","596,345 ","786,837 ","635,048 ","573,955 ","651,268 ","676,969 ","766,507 ","675,346 ","636,583 ","739,595 ","884,882 ","548,821 ","575,472 ","675,122 ","753,364 ","626,510 ","684,368 ","726,901 ","885,533 ","597,918 ","547,984 ","715,579 ","847,380 ","568,151 ","484,971 ","712,188 ","646,983 ","555,217 ","628,924 ","664,267 ","829,422 ","804,177 ","825,721 ","786,452 ","803,835 ","658,358 ","635,953 ","682,663 ","769,928 ","554,390 ","577,866 "
Total Revenue,"143,630 ","183,056 ","210,794 ","247,972 ","200,792 ","222,658 ","314,150 ","392,948 ","281,747 ","333,025 ","343,249 ","430,861 ","285,581 ","329,778 ","464,032 ","469,271 ","319,666 ","320,059 ","361,589 ","410,784 ","387,444 ","387,395 ","408,263 ","427,884 ","362,765 ","301,061 ","374,615 ","426,489 ","374,756 ","336,014 ","439,057 ","472,994 ","437,092 ","415,488 ","592,396 ","572,242 ","522,992 ","473,812 ","590,709 ","672,203 ","502,533 ","511,445 ","668,196 ","775,407 ","591,777 ","596,345 ","786,837 ","635,048 ","573,955 ","651,268 ","676,969 ","766,507 ","675,346 ","636,583 ","739,595 ","884,882 ","548,821 ","575,472 ","675,122 ","753,364 ","626,510 ","684,368 ","726,901 ","885,533 ","597,918 ","547,984 ","715,579 ","847,380 ","568,151 ","484,971 ","712,188 ","646,983 ","555,217 ","628,924 ","664,267 ","829,422 ","804,177 ","825,721 ","786,452 ","803,835 ","658,358 ","635,953 ","682,663 ","769,928 ","554,390 ","577,866 "
"Cost of Revenue, Total","107,629 ","135,183 ","154,566 ","177,590 ","145,067 ","165,606 ","229,464 ","285,679 ","211,720 ","247,181 ","251,764 ","319,476 ","201,393 ","232,077 ","305,517 ","341,294 ","235,229 ","231,183 ","264,357 ","294,495 ","279,154 ","286,085 ","306,221 ","315,835 ","270,423 ","227,864 ","278,575 ","319,209 ","275,604 ","246,844 ","314,456 ","340,153 ","318,765 ","297,037 ","433,534 ","443,609 ","386,046 ","362,908 ","432,330 ","496,818 ","360,882 ","365,925 ","454,142 ","557,772 ","418,079 ","426,413 ","534,965 ","433,222 ","404,606 ","459,779 ","479,697 ","545,189 ","506,631 ","449,643 ","510,215 ","638,685 ","377,289 ","391,563 ","453,423 ","529,551 ","416,637 ","462,469 ","471,996 ","611,233 ","382,048 ","356,767 ","483,066 ","552,406 ","368,513 ","318,484 ","502,321 ","445,814 ","396,177 ","459,891 ","486,562 ","612,293 ","606,041 ","625,254 ","571,107 ","595,437 ","452,520 ","457,857 ","475,161 ","532,166 ","357,579 ","388,742 "
Cost of Revenue,"107,629 ","135,183 ","154,566 ","177,590 ","145,067 ","165,606 ","229,464 ","285,679 ","211,720 ","247,181 ","251,764 ","319,476 ","201,393 ","232,077 ","305,517 ","341,294 ","235,229 ","231,183 ","264,357 ","294,495 ","279,154 ","286,085 ","306,221 ","315,835 ","270,423 ","227,864 ","278,575 ","319,209 ","275,604 ","246,844 ","314,456 ","340,153 ","318,765 ","297,037 ","433,534 ","443,609 ","386,046 ","362,908 ","432,330 ","496,818 ","360,882 ","365,925 ","454,142 ","557,772 ","418,079 ","426,413 ","534,965 ","433,222 ","404,606 ","459,779 ","479,697 ","545,189 ","506,631 ","449,643 ","510,215 ","638,685 ","377,289 ","391,563 ","453,423 ","529,551 ","416,637 ","462,469 ","471,996 ","611,233 ","382,048 ","356,767 ","483,066 ","552,406 ","368,513 ","318,484 ","502,321 ","445,814 ","396,177 ","459,891 ","486,562 ","612,293 ","606,041 ","625,254 ","571,107 ","595,437 ","452,520 ","457,857 ","475,161 ","532,166 ","357,579 ","388,742 "
Gross Profit,"36,001 ","47,873 ","56,228 ","70,382 ","55,725 ","57,052 ","84,686 ","107,269 ","70,027 ","85,844 ","91,485 ","111,385 ","84,188 ","97,701 ","158,515 ","127,977 ","84,437 ","88,876 ","97,232 ","116,289 ","108,290 ","101,310 ","102,042 ","112,049 ","92,342 ","73,197 ","96,040 ","107,280 ","99,152 ","89,170 ","124,601 ","132,841 ","118,327 ","118,451 ","158,862 ","128,634 ","136,946 ","110,904 ","158,379 ","175,385 ","141,651 ","145,520 ","214,054 ","217,635 ","173,698 ","169,932 ","251,872 ","201,825 ","169,349 ","191,489 ","197,272 ","221,318 ","168,715 ","186,940 ","229,380 ","246,197 ","171,532 ","183,909 ","221,699 ","223,813 ","209,873 ","221,899 ","254,905 ","274,300 ","215,870 ","191,217 ","232,513 ","294,973 ","199,638 ","166,487 ","209,867 ","201,169 ","159,040 ","169,033 ","177,705 ","217,129 ","198,136 ","200,467 ","215,345 ","208,398 ","205,838 ","178,096 ","207,502 ","237,761 ","196,811 ","189,124 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
