Stark Corporation PCL                                12-Sep-2024 13:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 ,,,,2005 ,,,,2006 ,,,,2007 ,,,,2008 ,,,,2009 ,,,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,
,Industry Median,Mar-2004 ,Jun-2004 ,Sep-2004 ,Dec-2004 ,Mar-2005 ,Jun-2005 ,Sep-2005 ,Dec-2005 ,Mar-2006 ,Jun-2006 ,Sep-2006 ,Dec-2006 ,Mar-2007 ,Jun-2007 ,Sep-2007 ,Dec-2007 ,Mar-2008 ,Jun-2008 ,Sep-2008 ,Dec-2008 ,Mar-2009 ,Jun-2009 ,Sep-2009 ,Dec-2009 ,Mar-2010 ,Jun-2010 ,Sep-2010 ,Dec-2010 ,Mar-2011 ,Jun-2011 ,Sep-2011 ,Dec-2011 ,Mar-2012 ,Jun-2012 ,Sep-2012 ,Dec-2012 ,Mar-2013 ,Jun-2013 ,Sep-2013 ,Dec-2013 ,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,- ,46.9%,42.0%,34.9%,47.5%,39.4%,36.7%,37.0%,39.1%,34.9%,35.0%,30.0%,11.2%,31.9%,37.3%,25.7%,14.9%,14.0%,16.7%,2.2%,12.2%,27.4%,26.2%,22.0%,25.7%,29.4%,27.8%,26.0%,23.9%,25.5%,22.1%,28.2%,24.5%,33.7%,32.1%,32.7%,30.3%,35.4%,34.7%,31.4%,29.4%,22.2%,30.7%,34.1%,22.2%,30.2%,26.2%,23.7%,9.1%,4.1%,13.8%,8.3%,(97.1%),2.8%,5.2%,39.7%,15.9%,22.7%,12.6%,11.5%,13.0%,14.5%,9.5%,14.0%,11.8%,15.0%,16.4%,18.9%,17.3%,22.6%,16.6%,19.4%,-,19.2%,21.8%,27.9%,(146.0%)
EBITDA Margin,- ,28.4%,27.3%,20.5%,31.8%,23.9%,22.1%,15.8%,4.8%,10.8%,33.3%,(0.3%),(50.4%),13.0%,11.5%,7.0%,(14.6%),(22.3%),(8.0%),(21.3%),15.9%,10.3%,10.3%,4.2%,32.3%,13.4%,11.9%,8.5%,8.7%,10.8%,8.3%,10.4%,7.1%,17.5%,15.8%,5.2%,9.8%,15.5%,10.8%,11.4%,2.9%,3.0%,13.7%,9.5%,2.3%,15.3%,2.6%,(1.7%),(17.5%),(15.3%),(7.2%),(25.5%),(123.9%),(14.5%),(14.8%),27.5%,(24.1%),5.6%,7.7%,12.1%,10.1%,12.0%,6.0%,10.1%,7.5%,13.0%,14.6%,16.7%,12.2%,19.1%,13.6%,17.8%,-,15.4%,17.7%,24.7%,(255.0%)
Operating Margin,- ,23.1%,21.6%,9.0%,25.5%,18.9%,16.6%,9.6%,0.1%,6.6%,5.9%,(13.5%),(20.8%),0.0%,4.8%,2.3%,(17.2%),(28.9%),(14.8%),(27.5%),(12.4%),6.2%,6.0%,1.9%,8.4%,5.1%,5.7%,2.6%,3.0%,3.4%,2.4%,4.5%,2.5%,11.7%,10.7%,(0.6%),4.5%,9.2%,11.7%,4.9%,(0.3%),(3.9%),6.9%,5.8%,(1.2%),7.2%,(1.5%),(6.7%),(22.7%),(19.6%),(11.9%),(31.2%),(133.2%),(20.3%),(19.0%),24.2%,(28.1%),2.8%,7.5%,8.0%,9.3%,11.6%,5.6%,4.1%,7.3%,15.0%,17.6%,13.7%,14.5%,16.0%,11.6%,15.7%,-,17.0%,19.7%,18.1%,(259.1%)
Pretax Margin,- ,21.3%,20.0%,7.2%,24.2%,17.8%,15.9%,8.7%,(1.1%),4.7%,3.9%,(15.9%),(23.9%),(2.1%),2.6%,(0.1%),(19.9%),(32.9%),(17.6%),(29.7%),(14.6%),4.4%,4.3%,0.1%,7.1%,3.6%,4.4%,1.1%,1.5%,1.9%,0.5%,2.4%,0.2%,9.6%,8.9%,(2.7%),2.6%,7.1%,9.3%,2.2%,(3.3%),(7.0%),3.7%,2.1%,(4.8%),3.3%,(6.5%),(13.1%),(30.1%),(25.8%),(19.0%),(40.4%),(148.1%),(29.1%),(25.8%),18.6%,(35.7%),(3.6%),5.5%,5.3%,7.1%,7.5%,2.0%,0.3%,4.3%,11.3%,13.0%,10.2%,11.4%,12.2%,11.9%,12.3%,-,13.1%,13.1%,14.4%,(269.5%)
Effective Tax Rate,- ,33.6%,32.2%,62.6%,31.5%,38.6%,28.3%,46.0%,-,43.6%,37.2%,-,-,-,49.0%,-,-,-,-,-,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,21.0%,20.4%,-,19.6%,21.5%,14.3%,49.0%,-,-,21.0%,22.6%,-,22.1%,-,-,-,-,-,-,-,-,-,12.7%,-,-,26.2%,37.6%,19.5%,22.3%,58.7%,436.8%,24.0%,23.2%,22.2%,15.8%,21.9%,22.3%,15.6%,24.1%,-,28.1%,28.2%,19.7%,-
Net Margin,- ,14.2%,13.6%,2.7%,16.6%,10.9%,11.4%,4.7%,(1.5%),2.7%,2.5%,(16.5%),(18.3%),(4.0%),1.3%,0.2%,(16.5%),(32.9%),(17.6%),(29.7%),(14.6%),4.4%,4.3%,0.1%,7.1%,3.6%,4.4%,1.1%,1.5%,1.9%,0.5%,2.4%,0.2%,7.5%,7.1%,(2.3%),2.1%,5.6%,7.9%,1.1%,(5.0%),(5.7%),2.9%,1.6%,(3.8%),2.5%,(7.3%),(11.0%),(18.2%),(21.0%),(15.3%),(40.4%),(149.9%),(45.0%),(25.5%),16.2%,(33.6%),(3.5%),4.0%,3.3%,5.7%,5.8%,0.8%,(0.9%),3.3%,8.7%,10.1%,8.6%,8.9%,9.5%,10.1%,9.4%,-,9.4%,9.4%,11.5%,(260.4%)
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,- ,-,-,-,-,0.26 ,0.23 ,0.21 ,0.21 ,0.16 ,0.17 ,0.18 ,0.13 ,0.20 ,0.21 ,0.16 ,0.18 ,0.12 ,0.16 ,0.19 ,0.21 ,0.22 ,0.21 ,0.19 ,0.26 ,0.20 ,0.21 ,0.20 ,0.23 ,0.21 ,0.22 ,0.21 ,0.20 ,0.23 ,0.25 ,0.21 ,0.21 ,0.19 ,0.19 ,0.17 ,0.16 ,0.16 ,0.17 ,0.15 ,0.16 ,0.14 ,0.12 ,0.10 ,0.09 ,0.11 ,0.10 ,0.08 ,0.05 ,0.08 ,0.12 ,0.14 ,0.10 ,0.11 ,4.29 ,3.45 ,0.64 ,0.39 ,5.46 ,0.41 ,0.23 ,0.18 ,0.19 ,0.19 ,0.19 ,0.16 ,0.17 ,0.27 ,(0.02),0.17 ,0.17 ,0.18 ,0.08 
