Energy Absolute PCL | Ratios - Key Metrics                                12-Sep-2024 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007 ,,,2008 ,,,2009 ,,2010 ,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
,Industry Median,Mar-2007 ,Jun-2007 ,Dec-2007 ,Mar-2008 ,Jun-2008 ,Dec-2008 ,Mar-2009 ,Dec-2009 ,Dec-2010 ,Mar-2011 ,Jun-2011 ,Sep-2011 ,Dec-2011 ,Mar-2012 ,Jun-2012 ,Sep-2012 ,Dec-2012 ,Mar-2013 ,Jun-2013 ,Sep-2013 ,Dec-2013 ,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 
Earnings Quality Score,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,3,4,4,3,6,7,7,8,12,14,39,59,71,51,42,73,73,11,12,8,9,43,38,34,25,23,28,34,34,33,36,18,19,15,14,17,16,19
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,43.3% ,1.2%,(6.1%),10.2%,4.5%,1.1%,1.0%,11.3%,0.3%,2.1%,8.0%,3.5%,2.0%,(2.1%),4.6%,5.5%,5.5%,6.4%,10.7%,12.8%,10.8%,13.9%,27.7%,31.5%,28.9%,30.1%,38.3%,42.9%,42.1%,38.7%,40.4%,45.2%,45.9%,52.1%,49.2%,46.7%,47.6%,47.2%,50.3%,52.5%,53.9%,46.7%,51.9%,54.0%,55.8%,56.1%,43.6%,45.6%,45.8%,47.9%,45.6%,37.0%,42.4%,39.5%,38.7%,31.3%,27.6%,30.1%,37.1%,39.3%,31.1%,28.7%,26.2%
EBITDA Margin,36.1% ,(4.9%),(10.1%),14.1%,4.2%,0.8%,0.4%,11.0%,1.3%,3.9%,5.7%,0.6%,0.5%,1.1%,3.1%,4.3%,3.7%,8.5%,9.4%,11.9%,7.9%,12.0%,30.2%,32.7%,30.4%,30.8%,41.9%,44.0%,47.5%,42.1%,43.5%,50.0%,55.6%,60.7%,55.7%,54.0%,56.3%,54.2%,59.0%,56.2%,63.2%,59.7%,61.8%,62.5%,67.8%,67.7%,49.8%,54.4%,56.8%,56.6%,52.5%,45.4%,49.0%,44.5%,48.1%,41.0%,42.6%,34.2%,42.5%,45.8%,40.2%,39.3%,37.1%
Operating Margin,34.8% ,(4.9%),(10.1%),7.7%,3.6%,0.0%,(1.0%),10.1%,(0.1%),2.0%,5.7%,0.6%,(0.9%),1.0%,2.3%,3.1%,2.1%,5.8%,6.8%,8.1%,4.3%,8.9%,25.4%,27.0%,24.8%,25.1%,34.6%,36.3%,38.8%,33.8%,36.2%,41.2%,41.8%,47.1%,43.8%,41.8%,42.2%,39.9%,74.5%,42.8%,47.5%,41.4%,44.9%,45.5%,51.2%,50.4%,37.5%,36.1%,38.7%,40.5%,37.8%,30.7%,35.2%,32.3%,31.9%,22.9%,22.6%,26.2%,32.9%,33.8%,18.3%,23.2%,20.6%
Pretax Margin,30.1% ,(4.9%),(10.1%),7.2%,3.5%,0.0%,(1.0%),10.0%,(0.9%),1.1%,5.4%,0.3%,(1.3%),0.5%,2.1%,2.6%,0.7%,4.8%,9.2%,8.0%,3.0%,8.0%,22.2%,22.7%,20.8%,20.2%,29.0%,29.6%,32.6%,27.0%,29.5%,31.9%,28.3%,35.5%,37.0%,32.9%,31.5%,29.5%,65.3%,33.2%,42.9%,34.2%,38.6%,39.7%,40.0%,42.9%,30.0%,27.3%,28.9%,31.4%,29.7%,23.4%,32.4%,31.8%,27.2%,18.3%,51.5%,24.6%,28.0%,30.0%,27.7%,14.3%,12.7%
Effective Tax Rate,17.1% ,-,-,7.5%,29.2%,0.0%,-,17.6%,-,5.0%,2.4%,42.8%,-,(46.4%),0.0%,0.0%,0.0%,0.1%,7.8%,8.6%,(5.8%),3.5%,0.9%,(0.5%),3.2%,1.6%,0.2%,0.1%,3.6%,0.0%,1.1%,0.6%,0.2%,(2.6%),(0.1%),(0.1%),(0.1%),(4.6%),(0.5%),(0.9%),0.8%,3.9%,(0.7%),0.2%,(0.4%),0.0%,0.1%,0.6%,0.4%,(2.2%),2.7%,1.1%,0.5%,(3.2%),(0.4%),4.2%,2.3%,1.7%,3.9%,4.7%,7.4%,(14.4%),6.0%
Net Margin,18.1% ,(4.9%),(10.1%),6.7%,2.5%,0.0%,(1.3%),8.2%,(0.6%),1.1%,5.3%,0.2%,(1.2%),0.8%,2.1%,2.6%,0.7%,4.8%,8.5%,7.3%,3.1%,7.8%,22.0%,22.8%,20.1%,19.9%,29.0%,29.6%,31.4%,27.0%,29.2%,31.7%,28.2%,36.5%,37.0%,33.0%,31.5%,30.8%,65.6%,33.5%,42.6%,32.9%,38.8%,39.6%,40.1%,42.9%,29.9%,27.1%,28.8%,32.1%,28.9%,23.2%,32.2%,32.8%,27.3%,17.6%,50.3%,24.2%,26.9%,28.6%,25.6%,16.4%,11.9%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
