BBGI PCL | Balance Sheet                                25-Sep-2024 16:07,,,,,,,,,,
,,,,,,,,,,
Balance Sheet,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,
,2022,,,,2023,,,,2024,
, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,32 ,19 ,27 ,31 ,48 ,55 ,28 
Period End Date,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,
Cash and Short Term Investments,"4,346,096 ","3,513,690 ","3,756,867 ","2,634,223 ","2,612,859 ","2,582,328 ","2,371,299 ","2,260,336 ","1,831,868 ","1,806,260 "
Cash & Equivalents,"3,226,096 ","1,593,690 ","1,836,867 ","1,414,223 ","2,512,859 ","2,482,328 ","2,321,299 ","2,260,336 ","1,831,868 ","1,806,260 "
Short Term Investments,"1,120,000 ","1,920,000 ","1,920,000 ","1,220,000 ","100,000 ","100,000 ","50,000 ",0 ,--,--
"Accounts Receivable - Trade, Net","829,866 ","793,832 ","731,833 ","910,668 ","777,833 ","599,081 ","770,105 ","1,203,613 ","1,396,772 ","1,444,139 "
"Accounts Receivable - Trade, Gross","829,866 ","793,832 ","731,833 ","910,668 ","777,833 ","599,081 ","770,105 ","1,203,613 ","1,396,772 ","1,444,139 "
Provision for Doubtful Accounts,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"Total Receivables, Net","1,008,528 ","967,327 ","817,799 ","1,246,002 ","1,097,455 ","871,241 ","873,600 ","1,474,619 ","1,635,513 ","1,633,789 "
Receivables - Other,"178,662 ","173,495 ","85,966 ","335,335 ","319,622 ","272,160 ","103,495 ","271,006 ","238,741 ","189,650 "
Total Inventory,"1,916,053 ","1,809,731 ","1,353,808 ","891,962 ","2,253,544 ","1,944,540 ","1,672,176 ","1,090,340 ","2,484,427 ","2,131,971 "
Inventories - Finished Goods,"866,450 ","802,350 ","812,520 ","456,220 ","723,220 ","755,040 ","869,250 ","503,880 ","1,112,590 ","1,009,290 "
Inventories - Work In Progress,"156,080 ","116,410 ","83,050 ","81,260 ","76,990 ","109,280 ","72,230 ","99,710 ","82,120 ","82,600 "
Inventories - Raw Materials,"893,090 ","951,900 ","492,470 ","361,850 ","1,453,900 ","1,088,130 ","730,970 ","486,780 ","1,290,770 ","1,042,630 "
Inventories - Other,433 ,"(60,929)","(34,232)","(7,368)",(566),"(7,910)",(274),(30),"(1,053)","(2,549)"
Prepaid Expenses,"56,110 ","26,990 ","11,830 ","365,360 ","123,620 ",0 ,0 ,"114,880 ","512,370 ","674,470 "
"Other Current Assets, Total",199 ,141 ,82 ,65 ,325 ,447 ,202 ,94 ,858 ,854 
Other Current Assets,199 ,141 ,82 ,65 ,325 ,447 ,202 ,94 ,858 ,854 
Total Current Assets,"7,326,986 ","6,317,879 ","5,940,386 ","5,137,612 ","6,087,803 ","5,398,556 ","4,917,277 ","4,940,270 ","6,465,036 ","6,247,344 "
,,,,,,,,,,
"Property/Plant/Equipment, Total - Net","6,244,133 ","6,254,237 ","6,245,233 ","6,211,088 ","6,140,057 ","6,043,343 ","5,948,824 ","5,852,175 ","5,749,259 ","5,651,955 "
"Goodwill, Net","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 ","1,602,325 "
"Intangibles, Net","24,255 ","23,189 ","28,829 ","28,520 ","29,988 ","28,230 ","26,469 ","24,711 ","23,145 ","21,658 "
Long Term Investments,"1,882,606 ","1,861,205 ","1,766,353 ","1,030,952 ","988,152 ","796,336 ","813,849 ","1,139,320 ","1,327,524 ","1,533,729 "
