Earth Tech Environment PCL | Ratios - Key Metrics                                25-Sep-2024 16:20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,
,,2019 ,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,24,N/A,N/A,5,N/A,N/A,46,64,58,66,62,60,48,50,40,28,24,9,4,13,21,42
Profitability,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,54.0%,49.8%,48.4%,51.2%,56.1%,50.4%,55.0%,48.9%,51.5%,42.7%,42.7%,39.4%,41.8%,37.9%,27.4%,26.5%,25.9%,33.5%,38.5%,30.0%,37.8%
EBITDA Margin,34.8% ,37.5%,30.8%,86.8%,28.8%,48.7%,55.9%,61.9%,53.0%,58.8%,54.9%,36.5%,52.3%,58.6%,46.1%,14.6%,30.5%,41.5%,39.2%,40.2%,30.5%,43.8%
Operating Margin,33.7% ,37.5%,30.8%,20.0%,28.8%,48.7%,40.0%,47.2%,37.3%,44.3%,38.9%,21.8%,35.9%,43.1%,30.7%,(1.3%),14.4%,23.6%,22.8%,25.1%,14.7%,46.2%
Pretax Margin,29.0% ,24.6%,19.6%,4.7%,17.9%,35.1%,28.9%,35.4%,26.5%,35.2%,29.6%,13.3%,27.5%,35.9%,23.6%,(12.6%),1.0%,6.0%,5.3%,7.5%,(2.6%),31.3%
Effective Tax Rate,17.5% ,8.8%,2.6%,37.9%,(0.2%),1.2%,0.0%,0.0%,0.0%,0.0%,(2.1%),(7.1%),0.4%,3.2%,3.5%,-,11.6%,19.6%,(15.9%),2.0%,-,(0.3%)
Net Margin,17.7% ,22.4%,19.1%,2.9%,17.9%,34.7%,28.9%,35.4%,26.5%,35.2%,30.3%,14.2%,27.4%,34.7%,22.8%,(11.6%),0.9%,4.8%,6.1%,7.4%,(3.0%),31.4%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,0.04 ,-,-,0.05 ,0.05 ,0.04 ,0.05 ,0.04 ,0.05 ,0.04 ,0.05 ,0.05 ,0.04 ,0.04 ,0.03 ,0.03 ,0.04 ,0.04 ,0.04 
x Pretax Margin,29.0% ,24.6%,19.6%,4.7%,17.9%,35.1%,28.9%,35.4%,26.5%,35.2%,29.6%,13.3%,27.5%,35.9%,23.6%,(12.6%),1.0%,6.0%,5.3%,7.5%,(2.6%),31.3%
Pretax ROA,1.5% ,-,-,0.2%,-,-,1.5%,1.6%,1.1%,1.7%,1.3%,0.6%,1.2%,1.8%,1.1%,(0.5%),0.0%,0.2%,0.2%,0.3%,(0.1%),1.2%
x Leverage (Assets/Equity),3.47 ,-,2.86 ,2.94 ,-,2.72 ,1.63 ,1.58 ,1.54 ,1.52 ,1.47 ,1.45 ,1.41 ,1.37 ,1.35 ,1.59 ,1.58 ,1.78 ,1.77 ,1.76 ,1.76 ,1.59 
Pretax ROE,4.6% ,-,-,0.6%,-,-,2.9%,2.6%,1.8%,2.5%,1.9%,0.9%,1.8%,2.5%,1.5%,(0.8%),0.1%,0.3%,0.3%,0.5%,(0.2%),2.1%
x Tax Complement,0.73 ,0.93 ,1.00 ,0.60 ,0.95 ,0.96 ,0.96 ,0.97 ,0.97 ,0.96 ,1.00 ,1.03 ,0.97 ,0.94 ,0.94 ,-,0.57 ,0.72 ,1.09 ,0.88 ,-,0.98 
ROE,3.0% ,-,-,0.3%,-,-,2.8%,2.5%,1.7%,2.5%,1.9%,1.0%,1.7%,2.3%,1.4%,(0.8%),0.0%,0.2%,0.4%,0.4%,(0.2%),2.0%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,-,1.00 
Reinvestment Rate,2.0% ,-,-,0.3%,-,-,2.8%,2.5%,1.7%,2.5%,1.9%,1.0%,1.7%,2.3%,1.4%,(0.8%),0.0%,0.2%,0.4%,0.4%,(0.2%),2.0%
Liquidity,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,0.57 ,-,0.50 ,3.90 ,3.88 ,3.80 ,3.34 ,3.44 ,3.37 ,3.15 ,2.90 ,2.79 ,2.63 ,2.75 ,3.76 ,3.42 ,3.13 ,3.27 ,2.53 
Current Ratio,0.81 ,-,0.82 ,0.57 ,-,0.50 ,3.90 ,3.89 ,3.80 ,3.34 ,3.45 ,3.38 ,3.15 ,2.90 ,2.80 ,2.66 ,2.76 ,3.76 ,3.42 ,3.18 ,3.32 ,2.56 
Times Interest Earned,3.6 ,2.9 ,2.8 ,1.3 ,2.6 ,3.6 ,3.6 ,4.0 ,3.5 ,4.9 ,4.2 ,2.6 ,4.3 ,5.9 ,4.3 ,(0.1),1.1 ,1.3 ,1.3 ,1.4 ,0.9 ,2.1 
Cash Cycle (Days),46.5 ,-,-,(22.5),-,-,(26.5),(19.0),(4.5),(16.6),20.5 ,30.1 ,62.4 ,88.2 ,108.3 ,134.1 ,146.9 ,148.5 ,133.1 ,139.3 ,165.9 ,92.5 
Leverage,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,2.86 ,2.94 ,-,2.72 ,1.63 ,1.58 ,1.54 ,1.52 ,1.47 ,1.45 ,1.41 ,1.37 ,1.35 ,1.59 ,1.58 ,1.78 ,1.77 ,1.76 ,1.76 ,1.59 
Debt/Equity,1.39 ,-,1.75 ,1.75 ,-,1.55 ,0.56 ,0.52 ,0.48 ,0.45 ,0.41 ,0.38 ,0.35 ,0.32 ,0.29 ,0.52 ,0.51 ,0.72 ,0.71 ,0.70 ,0.69 ,0.53 
% LT Debt to Total Capital,38.9% ,-,54.3%,51.6%,-,47.3%,28.2%,26.3%,24.7%,22.7%,20.9%,19.1%,17.4%,15.3%,13.4%,21.7%,21.0%,31.8%,31.3%,30.7%,30.2%,19.6%
(Total Debt - Cash) / EBITDA,29.61 ,-,-,15.61 ,-,-,7.51 ,-,-,-,-,-,-,0.14 ,0.56 ,5.33 ,4.55 ,3.45 ,4.71 ,5.77 ,6.75 ,0.42 
Operating,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,0.6 ,-,-,0.8 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.6 ,0.5 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.6 
Avg. A/R Days,82.0 ,-,-,145.8 ,-,-,110.1 ,107.7 ,109.3 ,107.4 ,139.5 ,132.1 ,154.3 ,167.9 ,201.1 ,207.8 ,218.3 ,235.0 ,217.4 ,202.8 ,210.5 ,156.1 
Inv Turnover,5.1 ,-,-,-,-,-,52.5 ,45.0 ,44.6 ,55.6 ,58.4 ,53.1 ,53.3 ,58.7 ,55.5 ,11.0 ,10.7 ,40.8 ,31.8 ,7.1 ,4.4 ,4.3 
Avg. Inventory Days,17.8 ,-,-,-,-,-,1.7 ,2.0 ,2.0 ,1.6 ,1.6 ,1.7 ,1.7 ,1.6 ,1.6 ,8.3 ,8.5 ,2.2 ,2.9 ,12.8 ,20.9 ,21.3 
Avg. A/P Days,83.6 ,-,-,168.3 ,-,-,138.4 ,128.7 ,115.9 ,125.7 ,120.6 ,103.7 ,93.6 ,81.2 ,94.5 ,82.0 ,80.0 ,88.7 ,87.1 ,76.3 ,65.5 ,84.9 
Fixed Asset Turnover,0.11 ,-,-,0.05 ,-,-,0.08 ,0.09 ,0.08 ,0.09 ,0.08 ,0.09 ,0.08 ,0.09 ,0.09 ,0.09 ,0.08 ,0.07 ,0.07 ,0.08 ,0.07 ,0.09 
WC / Sales Growth,(10.9%) ,-,-,-,-,-,-,357.7%,26.4%,(91.2%),30.0%,(67.7%),5.2%,(104.3%),0.4%,85.8%,143.8%,251.3%,(15.2%),(163.0%),43.1%,(75.6%)
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,0.1%,-,-,1.7%,1.8%,1.3%,1.9%,1.5%,0.8%,1.4%,1.9%,1.2%,(0.6%),0.0%,0.2%,0.2%,0.3%,(0.1%),1.5%
