TPI Polene Power PCL | Ratios - Key Metrics                                25-Sep-2024 16:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 ,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
,Industry Median,Mar-2015 ,Jun-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 
Earnings Quality Score,24,N/A,N/A,21,N/A,N/A,N/A,16,14,17,11,N/A,5,11,21,22,23,23,22,18,10,10,11,13,34,30,24,27,24,19,30,26,18,21,22,18,33
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,42.1% ,30.7%,35.8%,42.2%,55.6%,51.0%,39.1%,45.2%,59.2%,57.0%,53.2%,48.0%,51.7%,57.4%,50.3%,49.6%,45.0%,51.7%,46.5%,47.6%,44.4%,44.6%,46.0%,48.0%,48.5%,48.9%,38.5%,40.6%,31.4%,34.9%,27.9%,23.7%,38.8%,35.3%,40.1%,32.0%,35.3%
EBITDA Margin,34.8% ,28.6%,37.2%,57.8%,59.8%,56.5%,43.9%,50.3%,62.6%,61.2%,56.9%,50.1%,57.0%,65.6%,53.3%,49.8%,48.4%,56.9%,51.4%,50.2%,50.4%,52.4%,51.6%,52.3%,52.9%,51.3%,43.0%,47.9%,39.8%,44.2%,36.4%,30.4%,44.2%,40.7%,46.9%,38.5%,43.3%
Operating Margin,33.7% ,28.6%,37.2%,45.1%,52.0%,47.6%,34.0%,42.6%,55.4%,53.8%,48.5%,43.1%,50.2%,59.2%,47.2%,43.7%,41.0%,48.9%,43.4%,43.0%,41.0%,45.6%,44.1%,45.8%,44.4%,44.1%,35.4%,39.1%,31.6%,34.5%,24.6%,23.1%,36.7%,32.4%,36.6%,33.2%,30.3%
Pretax Margin,29.0% ,31.0%,33.7%,0.9%,55.9%,44.5%,31.4%,33.1%,60.1%,57.7%,54.2%,48.0%,60.3%,53.7%,49.3%,43.6%,41.7%,49.3%,41.7%,45.2%,38.9%,43.6%,41.2%,42.6%,41.4%,41.4%,33.7%,39.0%,30.8%,33.7%,23.5%,22.1%,35.9%,31.9%,35.0%,30.9%,28.1%
Effective Tax Rate,17.5% ,(1.9%),0.6%,(766.9%),(0.3%),(0.2%),(0.8%),(0.4%),0.4%,1.4%,4.2%,5.9%,7.5%,4.4%,3.2%,2.2%,3.0%,1.6%,2.0%,2.1%,1.9%,3.7%,2.9%,1.9%,3.3%,1.8%,2.9%,2.4%,0.5%,0.8%,1.2%,(0.7%),0.9%,(0.2%),1.6%,(0.5%),2.8%
Net Margin,17.7% ,31.6%,33.5%,8.0%,56.0%,44.6%,31.7%,33.3%,59.9%,56.9%,51.9%,45.2%,55.8%,51.4%,47.7%,42.7%,40.5%,48.5%,40.9%,44.3%,38.2%,41.9%,40.1%,41.8%,40.0%,40.6%,32.8%,38.1%,30.7%,33.5%,23.2%,22.2%,35.6%,31.9%,34.4%,31.1%,27.3%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Turnover,0.05 ,-,-,-,-,-,-,-,0.05 ,0.04 ,0.04 ,0.05 ,0.05 ,0.07 ,0.08 ,0.08 ,0.08 ,0.08 ,0.08 ,0.08 ,0.07 ,0.07 ,0.07 ,0.06 ,0.06 ,0.06 ,0.06 ,0.05 ,0.06 ,0.05 ,0.04 ,0.05 ,0.06 ,0.05 ,0.04 ,0.05 ,0.04 
x Pretax Margin,29.0% ,31.0%,33.7%,0.9%,55.9%,44.5%,31.4%,33.1%,60.1%,57.7%,54.2%,48.0%,60.3%,53.7%,49.3%,43.6%,41.7%,49.3%,41.7%,45.2%,38.9%,43.6%,41.2%,42.6%,41.4%,41.4%,33.7%,39.0%,30.8%,33.7%,23.5%,22.1%,35.9%,31.9%,35.0%,30.9%,28.1%
Pretax ROA,1.5% ,-,-,-,-,-,-,-,2.9%,2.5%,2.2%,2.3%,3.0%,3.7%,3.7%,3.3%,3.2%,3.9%,3.2%,3.5%,2.6%,3.1%,3.0%,2.7%,2.5%,2.6%,2.1%,2.1%,1.7%,1.7%,1.1%,1.1%,2.0%,1.6%,1.5%,1.4%,1.2%
x Leverage (Assets/Equity),3.47 ,-,-,-,-,1.84 ,-,2.18 ,1.24 ,1.14 ,1.13 ,1.14 ,1.11 ,1.11 ,1.13 ,1.26 ,1.23 ,1.23 ,1.39 ,1.40 ,1.38 ,1.42 ,1.54 ,1.51 ,1.48 ,1.58 ,1.57 ,1.57 ,1.57 ,1.57 ,1.74 ,1.60 ,1.77 ,1.75 ,1.77 ,1.80 ,1.83 
Pretax ROE,4.6% ,-,-,-,-,-,-,-,4.3%,2.9%,2.6%,2.6%,3.3%,4.1%,4.2%,4.0%,4.0%,4.8%,4.2%,4.8%,3.6%,4.4%,4.5%,4.2%,3.7%,4.0%,3.2%,3.4%,2.7%,2.7%,1.7%,1.8%,3.3%,2.9%,2.6%,2.5%,2.2%
x Tax Complement,0.73 ,1.02 ,0.99 ,8.67 ,1.00 ,1.00 ,1.01 ,1.00 ,1.00 ,0.99 ,0.96 ,0.94 ,0.93 ,0.96 ,0.97 ,0.98 ,0.97 ,0.98 ,0.98 ,0.98 ,0.98 ,0.96 ,0.97 ,0.98 ,0.97 ,0.98 ,0.97 ,0.98 ,0.99 ,0.99 ,0.99 ,1.01 ,0.99 ,1.00 ,0.98 ,1.01 ,0.97 
ROE,3.0% ,-,-,-,-,-,-,-,4.3%,2.9%,2.4%,2.5%,3.1%,3.9%,4.0%,3.9%,3.8%,4.8%,4.1%,4.7%,3.5%,4.2%,4.4%,4.1%,3.6%,4.0%,3.2%,3.3%,2.7%,2.7%,1.7%,1.8%,3.3%,2.9%,2.6%,2.5%,2.1%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(0.20),(0.19),0.15 ,0.43 ,(0.11),0.13 ,0.16 ,0.14 ,1.00 ,0.33 ,0.24 ,(0.32),1.00 ,0.14 ,1.00 ,(0.09),1.00 ,0.15 ,1.00 ,(0.09),1.00 ,(0.18),1.00 ,(0.34),1.00 ,(0.08),1.00 ,(0.21),1.00 
Reinvestment Rate,2.0% ,-,-,-,-,-,-,-,(0.9%),(0.5%),0.4%,1.1%,(0.4%),0.5%,0.7%,0.5%,3.8%,1.6%,1.0%,(1.5%),3.5%,0.6%,4.4%,(0.4%),3.6%,0.6%,3.2%,(0.3%),2.7%,(0.5%),1.7%,(0.6%),3.3%,(0.2%),2.6%,(0.5%),2.1%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,-,-,0.37 ,-,0.46 ,1.99 ,2.25 ,2.04 ,1.70 ,1.77 ,1.38 ,1.23 ,2.72 ,2.95 ,2.57 ,3.65 ,2.41 ,1.98 ,1.21 ,2.97 ,1.02 ,1.12 ,1.57 ,1.40 ,1.49 ,1.42 ,1.17 ,1.62 ,0.99 ,1.93 ,1.90 ,0.79 ,0.98 ,0.82 
Current Ratio,0.81 ,-,-,-,-,0.57 ,-,0.60 ,2.06 ,2.37 ,2.19 ,1.85 ,2.02 ,1.72 ,1.50 ,2.99 ,3.31 ,3.04 ,4.11 ,2.86 ,2.61 ,1.63 ,3.62 ,1.24 ,1.35 ,1.80 ,1.68 ,1.80 ,1.73 ,1.51 ,1.97 ,1.37 ,2.40 ,2.27 ,1.01 ,1.25 ,1.05 
Times Interest Earned,3.6 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cash Cycle (Days),46.5 ,-,-,-,-,-,-,-,115.7 ,98.9 ,109.3 ,96.4 ,105.2 ,106.2 ,108.9 ,92.7 ,80.6 ,95.1 ,106.7 ,107.2 ,117.9 ,110.7 ,130.4 ,151.3 ,141.4 ,124.3 ,135.5 ,172.8 ,177.1 ,211.2 ,208.7 ,152.1 ,147.7 ,161.4 ,185.0 ,149.5 ,148.6 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,-,-,-,1.84 ,-,2.18 ,1.24 ,1.14 ,1.13 ,1.14 ,1.11 ,1.11 ,1.13 ,1.26 ,1.23 ,1.23 ,1.39 ,1.40 ,1.38 ,1.42 ,1.54 ,1.51 ,1.48 ,1.58 ,1.57 ,1.57 ,1.57 ,1.57 ,1.74 ,1.60 ,1.77 ,1.75 ,1.77 ,1.80 ,1.83 
Debt/Equity,1.39 ,-,-,-,-,0.57 ,-,0.85 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.16 ,0.15 ,0.15 ,0.30 ,0.30 ,0.31 ,0.35 ,0.47 ,0.45 ,0.42 ,0.52 ,0.52 ,0.52 ,0.51 ,0.51 ,0.67 ,0.53 ,0.71 ,0.69 ,0.69 ,0.71 ,0.72 
% LT Debt to Total Capital,38.9% ,-,-,-,-,34.6%,-,44.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.8%,13.3%,13.1%,23.1%,22.8%,23.3%,23.1%,31.0%,20.7%,20.3%,25.5%,25.6%,25.8%,25.4%,25.4%,32.4%,28.4%,35.9%,35.4%,28.1%,34.5%,34.6%
