SCI Electric PCL | Balance Sheet                                25-Sep-2024 17:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,52 ,13 ,11 ,2 ,14 ,73 ,71 ,63 ,14 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,4 ,7 ,10 ,31 ,44 ,61 ,66 ,52 ,55 ,38 ,29 ,24 ,19 ,17 ,35 ,51 ,13 ,19 ,4 
Period End Date,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"322,690 ","193,409 ","157,354 ","1,149,473 ","1,152,978 ","1,099,801 ","906,849 ","883,908 ","906,063 ","808,033 ","660,127 ","632,132 ","671,719 ","557,165 ","602,306 ","590,239 ","496,494 ","388,965 ","328,996 ","315,083 ","266,090 ","226,345 ","298,873 ","317,518 ","374,741 ","440,824 ","333,625 ","421,541 ","356,082 ","345,937 ","289,009 ","341,681 ","252,148 ","332,762 ","333,394 ","300,749 ","259,969 ","218,403 "
Cash,"322,680 ","193,397 ","150,834 ","122,955 ","284,857 ","231,785 ","316,258 ","309,836 ","339,041 ","326,058 ","259,336 ","243,974 ","250,184 ","299,998 ","354,327 ","322,286 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cash & Equivalents,10 ,10 ,10 ,10 ,10 ,"200,010 ",10 ,10 ,"33,425 ",11 ,11 ,11 ,11 ,11 ,11 ,11 ,"262,527 ","255,309 ","170,026 ","206,473 ","171,084 ","121,216 ","226,835 ","228,550 ","236,173 ","320,771 ","172,891 ","248,141 ","175,574 ","340,504 ","283,571 ","298,179 ","208,554 ","238,929 ","239,217 ","201,666 ","161,422 ","132,416 "
Short Term Investments,0 ,1 ,"6,510 ","1,026,508 ","868,110 ","668,006 ","590,581 ","574,062 ","533,597 ","481,964 ","400,780 ","388,147 ","421,525 ","257,156 ","247,969 ","267,942 ","233,967 ","133,655 ","158,970 ","108,609 ","95,006 ","105,129 ","72,038 ","88,968 ","138,567 ","120,053 ","160,734 ","173,400 ","180,509 ","5,433 ","5,438 ","43,503 ","43,594 ","93,832 ","94,177 ","99,082 ","98,547 ","85,987 "
"Accounts Receivable - Trade, Net","635,291 ","711,717 ","697,422 ","878,360 ","431,953 ","300,163 ","642,214 ","1,084,329 ","1,254,096 ","1,292,579 ","1,450,323 ","1,414,243 ","1,305,070 ","1,352,928 ","1,248,392 ","1,202,120 ","1,256,540 ","1,212,162 ","1,244,403 ","1,194,017 ","1,315,151 ","1,391,596 ","1,387,880 ","1,155,900 ","1,178,132 ","1,044,748 ","1,251,052 ","1,102,314 ","1,081,467 ","1,133,010 ","1,172,457 ","1,039,859 ","1,201,028 ","1,040,832 ","1,109,920 ","332,141 ","340,518 ","443,747 "
"Accounts Receivable - Trade, Gross","643,810 ","720,100 ","707,042 ","889,311 ","443,354 ","312,122 ","652,747 ","1,094,881 ","1,264,964 ","1,302,739 ","1,452,454 ","1,416,253 ","1,308,201 ","1,355,639 ","1,250,723 ","1,204,291 ","1,256,540 ","1,212,162 ","1,244,403 ","1,194,017 ","1,315,151 ","1,391,596 ","1,387,880 ","1,155,900 ","1,178,132 ","1,044,748 ","1,251,052 ","1,102,314 ","1,081,467 ","1,133,010 ","1,172,457 ","1,039,859 ","1,201,028 ","1,040,832 ","1,109,920 ","332,141 ","340,518 ","443,747 "
Provision for Doubtful Accounts,"(8,518)","(8,383)","(9,620)","(10,952)","(11,401)","(11,959)","(10,533)","(10,552)","(10,868)","(10,160)","(2,131)","(2,011)","(3,131)","(2,711)","(2,331)","(2,171)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Receivables, Net","694,617 ","730,265 ","710,471 ","889,184 ","439,975 ","304,700 ","663,302 ","1,100,624 ","1,269,983 ","1,297,254 ","1,464,835 ","1,424,854 ","1,316,548 ","1,366,107 ","1,260,885 ","1,214,529 ","1,256,540 ","1,212,162 ","1,244,403 ","1,194,017 ","1,315,485 ","1,392,036 ","1,388,547 ","1,156,650 ","1,178,416 ","1,045,235 ","1,252,157 ","1,104,079 ","1,082,299 ","1,134,874 ","1,174,745 ","1,043,116 ","1,201,485 ","1,041,786 ","1,111,239 ","333,885 ","340,689 ","444,233 "
Notes Receivable - Short Term,"22,535 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
